OBS,VNM_CAN_A,VNM_CANOTH_A,VNM_CANRATIO_A,VNM_CLIMLOSS_A,VNM_CMUD_A,VNM_CO2_A,VNM_COALC_A,VNM_CTAX_A,VNM_CTAXR_A,VNM_CXS_A,VNM_CXUD_A,VNM_DEP_A,VNM_EC_A,VNM_EFEX_A,VNM_EFF_A,VNM_ENAB_A,VNM_EXP_A,VNM_EXPE_A,VNM_EXPEB_A,VNM_EXPH_A,VNM_EXPHB_A,VNM_EXPSP_A,VNM_EXPSPB_A,VNM_EXR_A,VNM_FINC_A,VNM_GASC_A,VNM_GCARB_A,VNM_GCARBB_A,VNM_GCARBR_A,VNM_GCARBRB_A,VNM_GCOM_A,VNM_GCR_A,VNM_GDFXSH_A,VNM_GDI_A,VNM_GDN_A,VNM_GDNRATIO_A,VNM_GINI_DISP_A,VNM_GINT_A,VNM_GIP_A,VNM_GLN_A,VNM_GLNRATIO_A,VNM_GLNT_A,VNM_GOTH_A,VNM_GTRADE_A,VNM_GTRADER_A,VNM_HEAD19_A,VNM_HEAD55_A,VNM_HIC_A,VNM_IGR_A,VNM_INFT_A,VNM_INT_A,VNM_IPR_A,VNM_ITAX_A,VNM_ITAXR_A,VNM_ITR_A,VNM_K_A,VNM_LABSH_A,VNM_LFN_A,VNM_LFNF_A,VNM_LIVES_A,VNM_LNN_A,VNM_LNNF_A,VNM_LOCK_A,VNM_LRX_A,VNM_LRXF_A,VNM_LTI_A,VNM_MTD_A,VNM_MTN$_A,VNM_MTN_A,VNM_MTR$_A,VNM_MTR_A,VNM_OGC_A,VNM_OGI_A,VNM_OILC_A,VNM_OMS_A,VNM_OXS_A,VNM_PC_A,VNM_PCR_A,VNM_PE_A,VNM_PG_A,VNM_PM25_A,VNM_POIL_A,VNM_POPT_A,VNM_POPWA_A,VNM_POPWAF_A,VNM_PR_A,VNM_PREM_A,VNM_PROF_A,VNM_RC_A,VNM_REFEX_A,VNM_REL_RED_A,VNM_REMIT_A,VNM_REV_A,VNM_REVG_A,VNM_RPDI_A,VNM_SCR_A,VNM_SDLI_A,VNM_SHAREE_A,VNM_SHAREH_A,VNM_SHARESP_A,VNM_SHAREX_A,VNM_SOLV_A,VNM_TAX_A,VNM_TAXR_A,VNM_TECHL_A,VNM_TFP_A,VNM_URX_A,VNM_URXF_A,VNM_USER_A,VNM_WDR_A,VNM_XTD$_A,VNM_XTDNO$_A,VNM_XTN$_A,VNM_XTN_A,VNM_XTR$_A,VNM_XTR_A,VNM_YBAR_A,VNM_YED_A,VNM_YEN$_A,VNM_YEN_A,VNM_YER$_A,VNM_YER_A,VNM_YFT$_A,VNM_YFT_A
2024,0.00016257,0.00000801,-0.00000227,0.6093412,0.00000289,0.00091406,-0.0000023,0.022272,0,0,0.00000261,0.00000006,-0.00406282,-0.00000003,0.0153808,0,-6.04,-1898.663827,4107.7,-14719.25224,31844.8,-27196.79857,64680.7,43.35255642,0,-0.13331068,0.00130587,-585.978,0,0,7703.243114,-4322.463722,-0.00447001,3.64231967,4650.478584,0.00000181,0.00000018,-0.0000056,-0.01518652,0.9,-0.00000015,0.2791802,76327.5,-0.080548,0,-0.00000665,-0.00009899,0.00081124,-7749.222984,-0.0000005,0.0000003,0.02800931,-0.53579026,0,0.7,0.587808,0,-0.00649108,0.00430755,-0.0075721,-0.02267707,-0.02267691,0,-0.001647011,0.0033274,0.0000015,-0.0000046,-0.00014132,6.194085,0.00001873,0.03268926,25154.41821,0.06484575,-0.06039198,0.00037226,0,-0.000001,0.0034691,0.00000002,-0.00000144,-0.00728854,-0.00000313,715.7531932,-246.3001376,-175.5730798,0.00000003,-1.77150684,0.04117371,-0.0442346,-0.00000051,4.03486262,-0.38636377,-3534.343,-63.59162429,0.26722197,-17868.55777,0.00000011,0,0,0,0,0,-0.20080803,0,-0.00509187,-0.0000005,0.00000002,0.0000015,0.05605482,-0.0000009,0.00000428,-0.00312159,0.00009124,-4.32181694,-0.00007007,0.01815135,-0.00000238,0.0114991,-0.00005715,2.911725,0.00003258,0.3,0.00006574,0.0107167
2025,0.00008333,-0.00000836,0.00000057,0.61084818,0.00000284,0.0012139,-0.000005,-0.0287168,0,0,-0.00000261,-0.0000001,-0.00157918,0.00000013,0.0153808,0,-7.41,-2032.369049,4500.73,-15755.82654,34891.6,-29452.99682,71676.8,58.52081991,0,-0.1311017,0.00419924,-662.348,0,0,8016.5782,2322.425014,-0.00441137,2.18413985,23617.9843,-0.00000851,0.00000058,0.0000044,-0.76833276,0.2,0.00000142,0.3626265,87662.5,-0.191473,0,0.00000184,0.0000507,0.00174341,-8667.475577,0.0000006,-0.0000003,0.03436458,-0.0555774,0,0.1,-0.597285,0,0.00626654,0.00137792,-0.00743416,-0.02233172,-0.02233182,0,-0.001681294,0.0035556,-0.0000015,-0.00000045,-0.00004884,4.018095,0.00001875,0.03182692,19598.46838,0.06452187,-0.05797484,0.00006378,0,0.00000039,0.00037637,0.00000089,-0.00000024,-0.00739692,-0.00000539,692.9851469,-247.9609705,-174.7328605,0.00000137,-2.15680162,1.69430609,-0.04184775,0.00000012,3.97628173,-1.17215592,-3814.108,-52.06789962,1.23333902,-18233.01824,0.00000007,0,0,0,0,0,-0.26895258,0,-0.00188675,0.00000047,-0.0000055,-0.0000004,0.05354881,-0.00088056,0.00000018,-0.00495513,0.00002291,-3.80694705,0.0000405,0.01887355,-0.00000124,0.00941908,0.00019195,1.73476,-0.00001022,-0.5,-0.00004506,0.00923724
2026,-0.00016423,0.00000104,-0.00000065,0.61387037,0.00000224,0.00118913,-0.0000023,-0.0793312,0,0,-0.0000028,0.00000001,-0.00031152,-0.00000028,0.0153808,0,3.29,-2251.691673,4998.88,-17456.21102,38753.4,-32958.68588,79410.7,79.23549543,0,-0.13491722,0.00090382,-712.77,0,0,8585.217139,2841.010051,-0.00441122,-3.37295103,26431.46315,-0.00001089,0.00000055,-0.000005,0.80070281,-0.5,0.00000006,0.30499715,94642.8,-0.203542,0,0.00000083,-0.0000074,0.00202898,-9452.927148,0.0000001,-0.0000003,0.03373829,-0.50317298,0,0,-0.804024,0,0.00093517,-0.0023052,-0.00752941,-0.02180862,-0.02180831,0,-0.001671543,0.0037845,0.0000005,0.00000555,-0.00000556,-6.498903,-0.00000411,0.03081392,21757.32651,0.06425571,-0.0616353,0.00002533,0,-0.00000022,-0.00068986,0.0000141,0.0000005,-0.00755457,-0.00000578,672.0870416,-172.9100038,-174.3149318,-0.00000066,-2.52942697,1.4605545,-0.04550042,-0.00000022,3.92569272,2.20299737,-4119.916,-48.2225669,-2.29556643,-19147.41548,-0.00000007,0,0,0,0,0,-0.35930445,0,0.00072366,-0.00000138,0.00000208,-0.0000003,0.05134341,0.00054883,-0.00000395,-0.00417619,-0.00021961,3.78956229,-0.0000839,0.01955048,-0.00000016,0.00937183,-0.000048,-5.7985,-0.0000059,0.4,0.00006024,0.00739487
2027,-0.0001673,0.00000546,-0.00000011,0.62042267,0.00000225,0.00076557,-0.0000032,0.052432,0,0,-0.00000357,-0.00000017,-0.0058805,-0.00000025,0.0153808,0,0.04,-1778.836353,4460.3,-13790.02663,34578.4,-26290.19358,72747.8,0.00718167,0,-0.14024661,0.00097021,-663.29,0,0,0.59149949,-3998.540951,-0.00346497,2.17847274,-46307.55844,0.00001845,-0.00000075,0.0000054,0.03180457,0.4,-0.00000135,0.00000015,48491.8,-0.23665,0,-0.00000119,-0.0000216,-0.00792355,3991.333175,0.0000002,0,0.01809399,-0.2816919,0,0.2,3.224757,0,0.00551555,-0.00641345,-0.00817537,-0.0217675,-0.0217674,0,-0.001663859,0.0062995,0,-0.00000081,-0.00004168,-3.17168,-0.00010989,0.01906867,30817.57755,0.05560921,-0.0668009,0.0000142,0,0.00000206,-0.00715168,-0.00001404,0.00000116,-0.00781012,0.00000262,647.4888667,-174.0529393,-134.0109888,0.00000055,-0.00053973,-2.2970186,-0.0506953,-0.00000028,3.93595758,-0.5506609,-0.627,-0.00020223,-0.45708645,20823.2418,0.00000037,0,0,0,0,0,-0.36669702,0,0.00340288,0.00000082,-0.00000112,-0.00000049,0.04885681,-0.00236442,-0.0000009,-0.00409503,-0.00021405,5.45020261,-0.00014637,0.00610146,0.00000164,-0.00000692,-0.00031534,-0.638528,0.00006205,-5,-0.00002307,0.0005175
2028,0.00017864,-0.00000577,0.00000071,0.61758849,-0.00000075,0.00054017,0.0000009,0.0171968,0,0,-0.00000045,-0.00000018,-0.00599944,0.00000007,0.0153808,0,-0.26,-1902.087286,4796.33,-14745.29751,37183.2,-28375.61361,78821.1,0.08233611,0,-0.13863574,0.00291181,-663.27,0,0,-0.40615972,-4167.825511,-0.0032936,1.5317638,-47271.58078,-0.0000117,0.00000055,-0.0000016,-0.54906573,0.2,0.00000029,0.0000003,52144.9,-0.194995,0,0.00000076,0.00001194,-0.00315993,4170.398514,-0.00000025,0,0.00696892,0.23731061,0,0.2,0.242004,0,0.00145423,-0.00742137,-0.0073673,-0.02278777,-0.02278803,0,-0.002016325,0.004137,0.000001,-0.00000289,0.00009436,1.60986,-0.00033505,0.0161904,31912.06814,0.05489516,-0.06504644,-0.00016481,0,-0.00000193,-0.00804949,0.00001581,0.00000234,-0.00803919,-0.00001741,617.7906082,-175.0631328,-117.1527939,0.00000013,0.00078952,1.3493702,-0.04897864,-0.00000004,3.92064198,-1.48282196,-0.75,-0.00328335,1.08097743,20679.22599,-0.00000011,0,0,0,0,0,-0.37332625,0.0001825,0.0054882,-0.00000061,-0.0000003,-0.0000046,0.04676243,-0.00076048,0.00000004,0.00037435,0.00030359,-1.79146509,0.00023397,0.00585995,0.00000022,0.00000465,0.00017364,-5.713,-0.00004389,1.2,-0.00003474,0.00046654
2029,-0.00002647,0.00000227,0.00000035,0.61736353,0.00000167,0.00036425,0.0000018,-0.0306336,0,0,-0.00000087,0.00000021,-0.00543349,0.00000014,0.0153808,0,-0.38,-2030.955344,5115.8,-15744.52878,39660,-30570.17681,84664.6,-0.01038074,0,-0.13861193,0.00333619,-664.65,0,0,0.11293811,-4298.297585,-0.00312914,1.52592104,-48290.60003,-0.00001915,0.00000064,-0.000001,0.09364917,0.3,0.00000064,-0.00000025,55618.2,-0.209563,0,-0.00000062,-0.00000974,-0.00232729,4300.603189,0.00000005,0,0.00382177,-0.90314256,0,0,-3.893041,0,0.00799674,0.00556074,-0.00701936,-0.02094318,-0.02094309,0,-0.002204527,0.0027168,-0.000001,-0.00000188,0.0000546,11.4951,-0.00003773,0.01413544,31428.63876,0.05361637,-0.06489399,-0.0001187,0,-0.00001487,-0.00787536,-0.0000167,-0.00001122,-0.0082701,-0.00002068,581.0922463,-176.0302158,-132.1373819,-0.00000126,-0.00065894,2.5472373,-0.04884518,-0.00000067,3.89731314,-0.20268987,-0.126,-0.00004668,1.09241811,17099.49282,-0.00000016,0,0,0,0,0,-0.30298267,0.00049,0.00710361,0.00000063,-0.00000928,0.00000103,0.04489438,-0.00089508,0.00000112,0.00036902,0.00002249,-2.50149497,0.00008357,0.00551238,-0.00000212,-0.00000062,0.00024511,-11.2286,-0.00015653,1.3,-0.0000009,0.00044292
2030,0.00020169,0.0000012,-0.00000051,0.61813153,0.00000026,0.00021142,-0.0000017,0.045712,0,0,-0.00000105,0.00000006,-0.00494771,0.00000016,0.0153809,0,1.25,-2165.415719,5436.82,-16786.85613,42148.7,-32873.87057,90537.1,0.0023028,0,-0.13881184,0.00320174,-664.5,0,0,0.46981538,-4414.289253,-0.00297375,-1.50925011,-49389.84267,-0.00000239,0.00000001,-0.0000006,-0.13161631,0,-0.00000055,-0.00000045,59108.1,-0.246126,0,0.00000014,0.00000305,-0.00201607,4412.600725,-0.00000005,0,0.00255038,-0.06899568,0,0.5,-0.477031,0,-0.00204437,0.00577014,-0.00685619,-0.01997287,-0.01997317,0,-0.002331735,0.0017842,0.000001,0.00000092,-0.00005738,11.73066,-0.00022777,0.01245122,30666.70738,0.05221184,-0.06497979,-0.00009992,0,0.00001917,-0.00802434,0.00000113,0.00002711,-0.0085072,0.00002967,539.6937676,-176.9715043,-114.7246539,-0.00000158,-0.00028141,0.4728931,-0.04894663,0.00000012,3.87249651,0.27400875,0.045,0.00035619,-1.31306725,15064.05577,-0.00000014,0,0,0,0,0,-0.60601917,0.0007538,0.00835728,-0.00000072,0.00000301,0.00000396,0.04316841,-0.00089926,-0.00000077,0.00036912,0.00014763,-2.76624251,0.00015659,0.00515586,0.00000015,-0.00000235,0.0001444,-2.61196,0.00018502,0.4,0.00002135,0.00042718
2031,0.00018419,-0.00000129,-0.00000052,0.62135307,0.0000007,0.00017336,-0.0000006,0.0304544,0,0,-0.0000002,-0.00000034,-0.00403374,0.00000016,0.0153808,0,0.27,-2309.482558,5883.76,-17903.73581,45613.4,-35275.86564,96210,0.00314336,0,-0.13759817,0.00325064,-683.76,0,0,-0.20110776,-4669.129875,-0.00282593,0.66732181,-50516.44122,-0.00000598,-0.00000049,0.0000026,0.03480589,-0.3,0.00000048,0.00000025,63967.3,-0.167941,0,-0.00000055,-0.00001251,-0.00208832,4666.865171,-0.0000003,0,0.00266635,-0.68113877,0,0,4.838882,0,0.00177032,-0.00648571,-0.00708723,-0.01934924,-0.01934875,0,-0.002438286,0.0011718,-0.000001,0.00000051,0.00006552,0.21365,-0.00044938,0.00996054,31612.26621,0.05241643,-0.06366084,-0.00008314,0,0.00000538,-0.00760168,-0.00001623,0.00000364,-0.00871839,-0.00001318,497.1951689,-68.39782356,-92.14119254,0.00000297,-0.00071467,1.472521,-0.04764967,-0.00000031,3.8605006,-0.21904874,0.622,-0.00141771,6.07422404,14148.41846,0.00000021,0,0,0,0,0,-0.12962588,0.0009109,0.00939216,-0.00000059,-0.0000006,0.00000065,0.0416136,0.00182073,-0.00000051,0.00037202,0.00024346,-6.3264883,-0.00023902,0.00530673,-0.00000054,-0.00000272,0.00019427,-11.3609,-0.00016836,4.6,-0.00011778,0.0004288
2032,-0.0001536,0.00000071,0.00000041,0.62268353,0.00000143,0.00008708,-0.0000019,-0.003456,0,0,0.00000114,0.00000017,-0.00399913,0.00000011,0.0153808,0,0.84,-2458.542797,6198.16,-19059.34032,48051,-37769.69266,101693,-0.00097496,0,-0.13860971,0.00404225,-690.92,0,0,-0.19047902,-4736.720664,-0.00268538,-8.05602602,-51651.7647,-0.00000681,0.00000047,-0.0000024,-0.06530224,0.4,-0.00000003,-0.0000001,67385.4,-0.26975,0,0.00000076,0.00001384,-0.00225034,4736.995409,0,0,0.00436386,-0.92621705,0,0,-7.605199,0,-0.00111659,-0.00109802,-0.00700885,-0.01949394,-0.01949414,0,-0.002551236,0.0007695,0.000001,0.00000036,0.00018928,-8.36148,-0.00053725,0.0085364,32107.54825,0.05050693,-0.06459475,-0.00008373,0,-0.00000462,-0.00814791,0.0000059,-0.00000649,-0.00895214,0.00001223,457.4964584,-68.67397698,-71.30293934,-0.00000262,-0.00025567,1.8580626,-0.04857758,0.00000046,3.85276351,-0.24762828,0.236,0.00208994,-2.89661829,13033.21135,-0.00000014,0,0,0,0,0,-0.70340574,0.0009213,0.01017587,0.00000192,-0.00000858,-0.00000146,0.03999754,0.00046246,0.00000036,0.0003721,0.00009647,-1.57251653,-0.00005421,0.00478087,-0.00000082,-0.0000025,0.00025328,-7.56832,0.00009908,3.7,0.00015365,0.00042246
2033,0.00008036,0.00000044,0.00000071,0.62444311,-0.00000176,0.00001679,-0.0000003,-0.32752,0,0,0.00000192,0.00000019,-0.00407825,0.00000015,0.0153808,0,-0.14,-2614.849425,6588.91,-20271.16744,51080.2,-40387.14998,108382,-0.00044453,0,-0.1386338,0.00883006,-698.79,0,0,0.07799727,-4881.848005,-0.00255181,-2.06759054,-52743.12846,0.00000676,0.00000009,0.0000002,0.22404613,-0.1,0.00000064,-0.00000005,71633.7,-0.2968,0,-0.00000024,-0.00000359,-0.00224229,4878.750347,0,0,0.00451976,0.03514526,0,0,2.096132,0,-0.00191438,-0.00492423,-0.00699343,-0.01906485,-0.01906492,0,-0.0026772,0.0005053,0,0.00000117,0.00000311,-1.0703,-0.00011369,0.00671059,34229.46171,0.04951348,-0.06455498,-0.00007273,0,0.00000053,-0.00838151,0.00001198,0.00001268,-0.00919008,0.00000797,421.7976469,-69.02144749,-58.63218681,-0.00000062,-0.00062889,4.7224104,-0.04857653,-0.00000004,3.8468668,0.26204051,-0.31,-0.00005426,2.86110327,12166.99491,-0.00000011,0,0,0,0,0,-0.4368107,0.0008426,0.01082577,-0.00000054,0.0000052,-0.00000384,0.03845393,-0.00089067,-0.00000039,0.00037303,0.00011801,7.35562488,0.00008802,0.00455501,0.0000043,-0.00000277,0.00020474,1.1716,0.0002281,-1.3,-0.00012057,0.00040894
2034,0.00023488,-0.00000131,0.00000027,0.62629016,0.00000079,-0.00004068,-0.0000034,0.399296,0,0,-0.00000039,0.00000002,-0.00418588,0.00000009,0.0153808,0,0.09,-2778.988344,7004.82,-21543.55138,54304.3,-43140.69908,115532,-0.00353961,0,-0.13864492,0.00758579,-707.35,0,0,-0.34127592,-5036.362469,-0.00242483,8.47076357,-53858.75076,0.00001029,0.00000029,0.000001,-0.50728254,-0.2,-0.00000006,0.00000045,76155.6,-0.269282,0,-0.0000003,-0.00001263,-0.00224075,5039.650942,0.0000002,0,0.00503746,-0.30526363,0,-1,-1.273952,0,0.00422606,-0.00023577,-0.00697938,-0.01878635,-0.01878624,0,-0.002803692,0.0003319,-0.000001,0.00000008,-0.00007135,12.2029,-0.00016458,0.00484755,36432.79408,0.04864037,-0.06451496,-0.00006492,0,-0.00000831,-0.00858362,0.00001132,-0.00000115,-0.00943169,-0.0000105,391.5987505,-69.24204273,-62.29987258,-0.00000066,-0.0007233,0.1225881,-0.04857844,0.00000046,3.84271733,-0.34787209,-0.327,-0.00310232,-1.90092154,11323.4179,-0.00000001,0,0,0,0,0,-0.66187907,0.0007792,0.01133368,-0.00000081,0.00000365,0.00000326,0.03698696,-0.00155467,0.00000017,0.00037657,0.00018684,-2.24116356,0.00007233,0.00436972,-0.00000013,-0.00000278,0.00015657,-2.81376,-0.00021301,0.9,0.00023044,0.00040397
2035,-0.0002188,0.0000013,0.00000075,0.62817204,0.00000066,-0.00009487,0.000002,-0.662304,0,0,0.00000005,-0.00000036,-0.00425383,0.00000004,0.0153808,0,0.1,-2951.305032,7445.51,-22880.37517,57720.2,-46038.74677,123142,0.00401336,0,-0.13875916,0.00400805,-714.55,0,0,0.24407373,-5199.878313,-0.00230422,-2.60623268,-54913.27335,-0.00000803,0.00000038,-0.0000026,0.49128587,0.6,-0.00000029,0,80944,-0.330038,0,0.00000028,0.00001488,-0.00224129,5199.637651,-0.0000005,0,0.00560878,-1.01460023,0,1,3.305168,0,-0.00091966,0.00024747,-0.0069614,-0.01854826,-0.01854859,0,-0.002931107,0.0002179,0,-0.00000123,0.00017911,-0.05568,-0.0002267,0.00295577,38793.49144,0.04785011,-0.06458761,-0.00005819,0,0.00000547,-0.00874902,-0.00000071,0.00001891,-0.0096813,-0.00000822,365.999782,-69.42598234,-71.47431191,0.00000022,-0.00012613,0.1996052,-0.04870236,0.00000043,3.83996949,0.11616705,0.723,0.00003302,1.67960086,10562.45376,-0.00000073,0,0,0,0,0,-0.61342054,0.0007213,0.01176403,0.00000052,0.00000979,0.00000094,0.03560961,-0.00031757,0.00000143,0.00037703,0.00001649,1.66268329,0.00003513,0.00420651,-0.00000262,0.00000149,0.00004579,-8.67824,-0.00003235,1,-0.00004117,0.00039962
2036,0.00008824,0.00000015,0.00000042,0.62841751,0.00000115,-0.00018267,-0.0000009,0.669792,0,0,0.00000134,0.00000035,-0.00422136,0.00000008,0.0153813,0,0.1,-3127.872872,7742.2,-24246.8859,60022.1,-49104.51662,131772,-0.0023303,0,-0.13945755,0.00184594,-708.81,0,0,-0.40473342,-5186.25886,-0.00218948,-0.87191174,-55951.45406,-0.00000049,-0.00000017,0.0000028,-0.07128573,0.4,-0.00000019,-0.0000003,84175,-0.360276,0,-0.0000002,-0.00000127,-0.00219347,5189.831547,0.0000001,0,0.00560928,-0.33788149,0,0,-2.82498101,0,-0.00103232,-0.00218488,-0.00668503,-0.01833456,-0.01833435,0,-0.003059485,0.0001432,0,0.00000081,-0.00005495,2.55834,-0.00046148,0.00184564,39602.80836,0.04557432,-0.06525417,-0.00005152,0,-0.00000932,-0.00962085,-0.00000645,-0.00006418,-0.0099566,0.00000697,341.8007451,-181.6750885,-78.58728697,0.00000318,-0.00017279,-2.8366451,-0.04943926,-0.00000014,3.82840295,0.32158791,-0.966,-0.00031099,-2.39186318,9565.44999,-0.00000037,0,0,0,0,0,-0.94702185,0.0006673,0.01211294,-0.0000002,0.00000111,0.00000195,0.03417869,-0.00049064,-0.00000019,0.00037669,0.00004038,0.38535588,-0.00008979,0.0035968,-0.00000007,-0.00000017,0.00022763,-5.15552,0.00015263,3.3,-0.00016847,0.00038017
2037,-0.00009163,0.00000356,-0.00000453,0.63034487,0.00000103,-0.00021802,-0.0000017,0.153152,0,0,0.00000302,-0.00000012,-0.00391423,0.00000014,0.01538,0,0.3,-3314.898586,8291.4,-25697.29284,64277.8,-52367.66971,141637,-0.00474508,0,-0.13870521,0.00432841,-715.89,0,0,0.30195272,-5439.14099,-0.00208045,6.30421466,-56977.33762,-0.00000494,-0.00000065,-0.000002,0.19303082,0.3,0.00000038,0.0000003,90140,-0.404127,0,-0.00000006,-0.00000581,-0.00193015,5431.647258,0.00000065,0,0.00445871,-1.29924493,0,0,-1.5008,0,0.0004555,0.00040743,-0.00668788,-0.01763914,-0.01763932,0,-0.003185188,0.000094,0,-0.00000109,0.00033649,3.16701,0.00005021,-0.00001845,42431.5852,0.04561586,-0.06447703,-0.00003568,0,0.00001023,-0.00953072,0.00000433,-0.00001794,-0.01021735,0.00003176,318.1016413,-182.2543081,-95.47520308,0.00000063,-0.00053151,1.7863283,-0.04874222,0.00000007,3.81506849,-1.3652935,-0.417,0.00234754,1.31062911,8964.916064,0.00000035,0,0,0,0,0,-0.65395278,0.0006512,0.01238649,-0.00000052,0.00000665,-0.00000755,0.03290094,-0.0011427,-0.00000083,0.0003808,0.0000957,9.43106744,0.00004322,0.00362945,0.00000122,-0.00000524,0.00033273,-10.53437,0.00007833,-7.6,0.00023311,0.00037677
2038,0.00000773,-0.00000591,-0.00000013,0.63209262,0.00000133,-0.00025191,0.0000007,-0.096224,0,0,-0.00000179,0.00000004,-0.0037412,0.00000013,0.015381,0,-0.2,-3511.544492,8785.7,-27223.87469,68111.4,-55812.63884,150767,-0.00367602,0,-0.13875616,0.01073845,-721.9,0,0,-0.30601238,-5599.563315,-0.00197686,-10.34984552,-58006.65191,0.00001208,0.00000004,0.0000004,-0.00911532,-0.3,0.00000049,0.0000002,95519,-0.333682,0,0.00000023,0.00000545,-0.0019118,5602.096197,0.00000005,0,0.00509017,1.23171396,0,-1,7.145455,0,0.00443844,0.00163277,-0.00665664,-0.0174841,-0.01748383,0,-0.00329287,0.0000617,0.000001,0.00000097,0.00024554,-3.1556,-0.00035384,-0.00164721,43956.40667,0.04491722,-0.06450211,-0.00002972,0,-0.0000145,-0.00965295,-0.00001599,0.00005178,-0.01048627,-0.00004516,297.1024785,-182.7014857,-120.589388,-0.00000062,-0.00083791,4.1661516,-0.04884075,0.00000057,3.80267126,3.16656231,-0.192,0.00093509,0.87294231,8308.415768,0.00000027,0,0,0,0,0,-0.76695351,0.0006692,0.01259233,0.00000032,-0.00000433,0.00000416,0.03165866,-0.00105839,-0.00000027,0.00038282,0.00075218,0.95859138,0.00005423,0.00349533,-0.00000133,-0.00000134,-0.00014933,-19.45448,-0.00028589,11,-0.00033823,0.00037278
2039,-0.00004054,0.00000253,0.00000131,0.63384469,0.00000028,-0.0002819,-0.0000018,0.655296,0,0,-0.00000149,-0.00000025,-0.00362087,0.0000001,0.015381,0,0,-3718.057874,9308,-28823.37219,72159.4,-59439.57066,160464,0.0015028,0,-0.13874187,0.002936,-727.71,0,0,0.26125867,-5771.96446,-0.00187843,2.53435274,-58950.94319,-0.00001893,-0.00000019,0.000002,0.40976524,0,-0.0000003,-0.00000065,101193,-0.356828,0,-0.00000011,-0.00000441,-0.00188681,5771.389047,-0.00000055,0,0.00549961,-0.69375202,0,0,-8.236552,0,-0.00497484,-0.00145198,-0.00662081,-0.0172852,-0.01728529,0,-0.003399989,0.0000405,-0.000001,-0.00000137,0.0002737,-0.12572,-0.00024503,-0.00325646,46044.48584,0.04428034,-0.06446928,-0.00002437,0,0.00000223,-0.00978297,-0.00001417,-0.00000151,-0.01076322,0.00005449,279.4032656,-183.2092489,-149.0655029,-0.00000079,-0.00040373,-0.2264107,-0.04889216,0.00000028,3.79102554,-1.0365799,-0.282,0.0000277,-7.4174304,7786.436737,0.00000049,0,0,0,0,0,-1.4402274,0.0006569,0.01276811,-0.00000054,0.00001115,0.00000202,0.03048684,-0.00178114,0.00000048,0.00038637,0.000467,0.03682352,-0.00029661,0.00337777,-0.0000006,-0.00000165,0.00069692,-5.45225,0.00029277,-6.8,0.00024567,0.00036459
2040,-0.00002317,-0.00000362,0.00000458,0.63561027,0.00000113,-0.00030145,0.0000026,0.547968,0,0,0.00000042,0.00000008,-0.00353012,0,0.015381,0,1.1,-3935.154802,9859.2,-30504.42962,76433,-63262.51977,170761,0.00221666,0,-0.13859266,0.0093852,-735.99,0,0,0.11344295,-5954.424539,-0.00178486,4.57791874,-59971.83752,0.00000618,0.00000034,-0.0000022,-0.99906483,0,0.00000083,0.00000035,107189,-0.397839,0,0.00000017,0.00000257,-0.00186006,5955.999022,0.00000035,0,0.00596086,-1.31921651,0,0,4.65966,0,-0.00134354,0.00278742,-0.00658404,-0.01709587,-0.01709597,0,-0.003506184,0.0000267,0.000001,0.00000024,0.00047157,8.42568,-0.00020499,-0.00484725,48479.19021,0.04369563,-0.06430982,-0.00001925,0,0.00001105,-0.00990724,0.00000785,-0.00005933,-0.01104332,-0.00007758,264.0040093,-183.6519215,-164.7443705,0.00000076,-0.00030003,-4.3633194,-0.04881176,0.00000025,3.77997507,-1.35902134,-0.699,-0.0010795,4.17890544,7305.998389,0.0000001,0,0,0,0,0,-0.57946874,0.0006335,0.01290931,-0.00000037,0.00000778,-0.00000218,0.02932675,0.00082626,0.0000001,0.00038645,-0.00016999,1.53023779,0.00009525,0.00326654,-0.00000122,-0.00000222,0.00032253,5.5708,-0.00000968,-10.2,-0.00024087,0.00036126
2041,0.00010474,0.00000136,-0.00000532,0.63559617,0.0000019,-0.00035261,-0.0000004,0.201152,0,0,0.00000013,0,-0.00323315,0.00000007,0.015381,0,-0.5,-4158.069866,10243.7,-32232.24421,79413,-67318.40257,182259,0.00199747,0,-0.13925662,0.01072299,-728.71,0,0,0.19999564,-5953.800658,-0.00169593,5.20093978,-60869.76178,-0.00000333,0.0000004,0.0000002,0.50692112,1,-0.00000108,-0.0000004,111367,-0.450007,0,-0.00000007,0.00000129,-0.00161359,5956.41132,-0.0000004,0,0.00592181,-1.05571525,0,0,1.516311,0,0.0030696,-0.00047555,-0.00626359,-0.01692219,-0.01692202,0,-0.003611445,0.0000175,0,0.00000123,-0.00026788,4.9536,-0.00026767,-0.00502818,49224.41259,0.04187934,-0.06496649,-0.00001556,0,0.00000178,-0.01061891,-0.00000656,0.00004157,-0.01135498,0.00003992,250.0047136,-276.0566826,-171.6098152,0.00000134,-0.00028063,-1.34309811,-0.04956221,-0.00000003,3.75905026,-0.69356277,-0.233,0.000907,5.38549123,6610.481431,-0.0000001,0,0,0,0,0,-0.45054126,0.0006059,0.01298688,0.0000011,-0.00001123,-0.00000115,0.02820257,-0.00121238,-0.00000068,0.00039084,0.0005598,-9.56806362,0.00001944,0.00257092,0.00000118,0.00000081,0.00007675,-15.97264,-0.00010826,-5,0.00012979,0.0003435
