OBS,VNM_CAN_A,VNM_CANOTH_A,VNM_CANRATIO_A,VNM_CLIMLOSS_A,VNM_CMUD_A,VNM_CO2_A,VNM_COALC_A,VNM_CTAX_A,VNM_CTAXR_A,VNM_CXS_A,VNM_CXUD_A,VNM_DEP_A,VNM_EC_A,VNM_EFEX_A,VNM_EFF_A,VNM_ENAB_A,VNM_EXP_A,VNM_EXPE_A,VNM_EXPEB_A,VNM_EXPH_A,VNM_EXPHB_A,VNM_EXPSP_A,VNM_EXPSPB_A,VNM_EXR_A,VNM_FINC_A,VNM_GASC_A,VNM_GCARB_A,VNM_GCARBB_A,VNM_GCARBR_A,VNM_GCARBRB_A,VNM_GCOM_A,VNM_GCR_A,VNM_GDFXSH_A,VNM_GDI_A,VNM_GDN_A,VNM_GDNRATIO_A,VNM_GINI_DISP_A,VNM_GINT_A,VNM_GIP_A,VNM_GLN_A,VNM_GLNRATIO_A,VNM_GLNT_A,VNM_GOTH_A,VNM_GTRADE_A,VNM_GTRADER_A,VNM_HEAD19_A,VNM_HEAD55_A,VNM_HIC_A,VNM_IGR_A,VNM_INFT_A,VNM_INT_A,VNM_IPR_A,VNM_ITAX_A,VNM_ITAXR_A,VNM_ITR_A,VNM_K_A,VNM_LABSH_A,VNM_LFN_A,VNM_LIVES_A,VNM_LNN_A,VNM_LNNF_A,VNM_LOCK_A,VNM_LRX_A,VNM_LTI_A,VNM_MTD_A,VNM_MTN$_A,VNM_MTN_A,VNM_MTR$_A,VNM_MTR_A,VNM_OGC_A,VNM_OGI_A,VNM_OILC_A,VNM_OMS_A,VNM_OXS_A,VNM_PC_A,VNM_PCR_A,VNM_PE_A,VNM_PG_A,VNM_PM25_A,VNM_POIL_A,VNM_POPT_A,VNM_POPWA_A,VNM_PR_A,VNM_PREM_A,VNM_PROF_A,VNM_RC_A,VNM_REFEX_A,VNM_REL_RED_A,VNM_REMIT_A,VNM_REV_A,VNM_REVG_A,VNM_RPDI_A,VNM_SCR_A,VNM_SDLI_A,VNM_SHAREE_A,VNM_SHAREH_A,VNM_SHARESP_A,VNM_SHAREX_A,VNM_SOLV_A,VNM_TAX_A,VNM_TAXR_A,VNM_TECHL_A,VNM_TFP_A,VNM_URX_A,VNM_URXF_A,VNM_USER_A,VNM_WDR_A,VNM_XTD$_A,VNM_XTDNO$_A,VNM_XTN$_A,VNM_XTN_A,VNM_XTR$_A,VNM_XTR_A,VNM_YBAR_A,VNM_YED_A,VNM_YEN$_A,VNM_YEN_A,VNM_YER$_A,VNM_YER_A,VNM_YFT$_A,VNM_YFT_A
2022,0.000152062594917,0.000001246996961,-0.000002507306871,0.606044253778384,0.000001367698983,0.000704077532460,-0.000002900000000,-0.010144000024976,0.000000000000000,0.000000000000000,0.000002274461530,0.000000072555525,-0.008212729053688,0.000001265833660,0.015380800000000,0.000000000000000,-1.580000000104030,-1397.410989523370000,3056.120000000000000,-10833.359094650000000,23692.200000000000000,-19535.722833941100000,47662.100000000000000,55.392936999999700,0.000000000000001,-0.129262732488356,-2884.396536126530000,-510.700000000001000,0.000000000000000,0.000000000000000,5328.700020564370000,-8424.049976725840000,-0.005043104234419,0.718167581480057,-25361.914189554600000,0.000053734527389,0.000000087394523,-0.000002800000000,-0.750305767644657,-0.400000000023119,0.000001552706605,0.281549849999999,49794.300000000000000,-0.455967500004648,0.000000000000000,0.000016212891185,0.000137780706360,-0.003342290738371,-581.316037011770000,0.000000000000000,0.000000000000000,0.073453457329505,-2.974820002658590,0.000000000000000,0.399999999987721,-6.094555002704630,0.000000000000000,-0.000350880000170,-0.007753890187073,-0.021380211768053,-0.000000504039401,0.000000000000000,-0.001262418402094,0.000000000000000,-0.000004217378011,0.000120450138683,9.879193000853740,0.000108578676635,0.052087298723924,23350.344523935100000,0.060195176763741,-0.056233743993114,-0.003572889802464,0.000000000000000,0.000000482102492,0.039960981684356,0.000002137113679,0.000002937043203,-0.007293363875091,-0.000009348538583,784.989074100001000,-242.703994425718000,-0.000001216150091,-0.631273357179045,0.950280469223865,-0.040745892334173,-0.000000214802639,4.129476319163400,0.084955098119165,4.021999999913430,-7794.069163388780000,6.085371917945900,-19788.507715170900000,-0.000000021473831,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-0.603868910438923,0.000000000000000,-0.013189948526986,0.000000623217800,0.000049913388356,0.000000069326046,0.061822876429975,-0.000021101373213,-0.000004331384932,0.019794968397836,0.000492749028639,-11.991558935758300,-0.000074779571999,0.024296683965274,0.000003873892745,0.006741284544132,0.000335294161574,6.252457999522510,0.000014225889064,-0.099999999555097,0.000044416473838,0.013405416619521
2023,0.000100294133425,-0.000000850134917,0.000005829543418,0.607185913020895,0.000002087147967,0.000850528755749,-0.000002200000000,0.034755199981670,0.000000000000000,0.000000000000000,0.000002712165608,0.000000026436299,-0.004928588409932,-0.000000549349453,0.015380800000000,0.000000000000000,-3.379999999861260,-1584.975404328810000,3538.750000000000000,-12287.431066990300000,27434.000000000000000,-22433.274428711900000,55426.400000000000000,35.181624650001500,0.000000000000001,-0.132089192296953,-3075.189865174320000,-545.091999999998000,0.000000000000000,0.000000000000000,6128.755405876680000,-5732.840203823340000,-0.004605194874308,0.016924468738412,1572.878510829970000,-0.000024780361835,0.000000310532790,0.000004600000000,0.831627926909143,0.200000000039203,-0.000003380880171,0.220031749999999,38847.600000000000000,-0.619142000011445,0.000000000000000,-0.000001915502506,-0.000018689357601,-0.000235538360955,-5509.766379725980000,0.000000000000000,-0.000000200000000,0.069980752971920,-1.228487782714100,0.000000000000000,0.100000000079039,-2.455316001483290,0.000000000000000,0.004077280005849,-0.007596544674841,-0.023363046718622,0.000001027111474,0.000000000000000,-0.001542286988308,-0.000005000000000,0.000004376156786,-0.000470855856780,-14.850406000759400,-0.000031666562156,0.050256245852439,23455.721999188800000,0.063700612103596,-0.059367002047201,0.000538708311624,0.000000000000000,0.000001651932222,0.027619599355871,-0.000000392655691,-0.000002677981293,-0.007172510785386,0.000005319568693,745.371175400013000,-244.529676560347000,-0.000000167273892,-1.359915834101520,2.545023719422070,-0.043250678771400,0.000000257105196,4.087131975607580,0.923943392179608,2.382000000165660,-66.311848094564300,4.280339807202270,-27038.603957530500000,-0.000000051356220,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-1.105235678909900,0.000000000000000,-0.009010128773603,-0.000000464310600,-0.000027317927068,0.000001347802734,0.058810482499640,0.000152208139965,-0.000000459388897,-0.001875959680306,-0.000123190691171,2.973814290142610,0.000067442185713,0.031920190077691,-0.000000230166319,0.007228686953218,-0.000218783260867,5.486285000018860,-0.000573955548110,0.199999999449745,-0.000064930323214,0.013772236603810
2024,0.000764788504188,0.000006735742367,-0.000006830392301,0.609341201364809,0.000002486625192,0.000914059222589,-0.000001600000000,0.095199999994679,0.000000000000000,0.000000000000000,0.000003065831685,0.000000055950170,-0.004062802633046,-0.000000527447461,0.015380800000000,0.000000000000000,-5.229999999981560,-1898.673826536010000,4107.700000000000000,-14719.352240597100000,31844.800000000000000,-27196.898565286600000,64680.700000000000000,43.352556421198900,0.000000000000001,-0.133310691908539,-3280.276694131080000,-585.978000000001000,0.000000000000000,0.000000000000000,7703.192437341730000,-4322.401235061050000,-0.004470007186253,16.613600276389500,4650.478583594020000,-0.000005128888313,0.000000368798805,-0.000004600000000,-0.004266042238088,0.900000000027074,0.000002348421355,0.279180200000000,76327.500000000000000,-1.080548000007390,0.000000000000000,-0.000006206060517,-0.000098165555178,0.000795074511236,-7749.058775865890000,-0.000000500000000,0.000000300000000,0.027990651144041,-3.035790261441850,0.000000000000000,0.700000000073760,0.351359999686274,0.000000000000000,0.002575840000720,-0.007572100063409,-0.022677074179472,0.000000181342597,0.000000000000000,-0.001647010921309,0.000004499999999,-0.000003784476097,-0.001141533475733,47.348702000530800,0.000048900419029,0.032689255828574,25154.418211424100000,0.064845578412227,-0.060391983111898,0.000372231403233,0.000000000000000,-0.000001656964789,0.003647539561900,-0.000000016383526,-0.000002316240616,-0.007288559738937,0.000005247422132,715.753193200001000,-246.300137613731000,0.000000039861677,-1.771306837251580,0.706587959898694,-0.044234559337627,-0.000000451163516,4.034861332101250,-0.377162476827042,3.635000000165220,-63.590644485284400,1.513339512579790,-17868.557768398300000,0.000000010222697,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-1.171488507078400,0.000000000000000,-0.005090710952067,-0.000000465236100,-0.000017001283488,0.000000438464658,0.056059756422038,-0.000066794363833,0.000004290253138,-0.003121611121366,-0.000308762215785,-4.321816938179480,-0.000070065804830,0.018151134310877,-0.000002382315899,0.011499102269876,-0.000157218510884,17.911725002059300,0.000032579254261,0.300000000934345,0.000065736684933,0.011709972000528
2025,-0.001191091688347,-0.000007452114812,0.000005401673623,0.610848176946478,0.000002412025171,0.001213586819751,-0.000004300000000,-0.419324800022477,0.000000000000000,0.000000000000000,-0.000002312132790,-0.000000095776300,-0.001579169481163,0.000000868773517,0.015380800000000,0.000000000000000,-6.510000000283940,-2032.369049242230000,4500.729999999990000,-15755.826544624100000,34891.600000000000000,-29452.996822762100000,71676.799999999900000,58.520819905398600,0.000000000000001,-0.131101712323285,-3512.095837451630000,-662.348000000000000,0.000000000000000,0.000000000000000,8016.579822156360000,2322.362527010920000,-0.004411368923590,-22.815860153908400,23617.984298151000000,-0.000108514033115,0.000000397934157,0.000003600000000,-0.679969060766209,0.200000000039203,0.000011423021990,0.362626499999999,87662.500000000000000,-1.191473000023270,0.000000000000000,0.000002577086092,0.000055721211652,0.001728708690812,-8667.221890830270000,0.000000600000000,-0.000000300000000,0.034346699759113,-0.555577396946133,0.000000000000000,0.100000000190534,-0.840780002691306,0.000000000000000,0.047939520000742,-0.007434155985905,-0.022331666952103,-0.000000661737027,0.000000000000000,-0.001681294150169,-0.000004500000000,-0.000000479972141,0.001051156127278,-5.356039999318520,0.000048635045017,0.031826923937763,19598.468375716500000,0.064521536435537,-0.057974813963500,0.000063834480352,0.000000000000000,0.000000414307976,0.000559527502183,0.000002831077413,0.000000722596777,-0.007396918634364,-0.000015635680393,692.985146900001000,-247.960970521081000,0.000001378948510,-2.157102979891760,16.427603638710100,-0.041847720984939,0.000000178588433,3.976281729798300,-0.945089982190984,2.390000000231420,-52.067810679085600,9.032941966636180,-18233.018236850200000,0.000000067531458,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-1.179863100706540,0.000000000000000,-0.001885894780721,0.000000399703700,-0.000027681480265,-0.000000720438524,0.053552799120030,-0.001418988600976,0.000000199623385,-0.004955672606264,-0.000377089695608,-3.806947052618470,0.000040498839450,0.018872916002200,-0.000000568909865,0.009419080857043,0.001691953291111,1.734759999512460,0.000489777915960,-0.500000000145668,-0.000045055546415,0.010268713714750
2026,0.001129934538471,0.000000518932141,0.000002010681628,0.613870373569118,0.000001853839919,0.001189431910329,-0.000001700000000,-0.152259200122901,0.000000000000000,0.000000000000000,-0.000002398199616,0.000000012700899,-0.000311527856080,-0.000001432556013,0.015380800000000,0.000000000000000,2.460000000066740,-2251.661673363700000,4998.880000000000000,-17455.911021618500000,38753.400000000000000,-32958.185884620100000,79410.700000000100000,79.235495432000000,0.000000000000001,-0.134917234047151,-3761.575096179780000,-712.770000000000000,0.000000000000000,0.000000000000000,8585.232523182360000,2840.839099032530000,-0.004411224029095,20.335449066750600,26431.463145030700000,0.000089109037671,0.000000552897007,-0.000004400000000,0.712394547273379,-0.499999999998608,-0.000009939903338,0.304997149999999,94642.800000000000000,-1.203542000012750,0.000000000000000,0.000000512353228,-0.000007950359498,0.002016203330154,-9453.737027487090000,0.000000100000000,-0.000000300000000,0.033721087251040,-0.503172982299541,0.000000000000000,0.000000000035820,-1.054602002385620,0.000000000000000,0.050909599993922,-0.007529412938880,-0.021808718897475,-0.000000260370402,0.000000000000000,-0.001671543223346,0.000005500000001,0.000004761741369,-0.001691723583388,3.501096999420710,0.000025500443548,0.030813922738586,21757.326511605700000,0.064256703684286,-0.061635311131406,0.000025290766671,0.000000000000000,-0.000000540043799,-0.000495424583037,0.000012007205200,0.000000436336109,-0.007554568397501,-0.000004114473963,672.087041599999000,-172.910003837524000,-0.000000655476314,-2.529226170773770,-8.539445500511960,-0.045500508101069,-0.000005185908673,3.925689162164420,1.868446165249850,3.959999999898270,-48.223369299034600,-7.198963770355790,-19147.415476591600000,-0.000000066622401,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-1.864583159457300,0.000000000000000,0.000723662009976,-0.000001081946400,-0.000025238236286,-0.000000755167323,0.051347522150237,0.000444056296300,-0.000003932337474,-0.004176198925714,-0.000219608171026,3.789562290842510,-0.000083896008615,0.019551114266757,-0.000000190999499,0.009371828350063,-0.001048003030575,-5.798499999869480,-0.000538945861853,0.399999998762267,0.000060240855434,0.008485532393667
2027,0.000061685385828,0.000005365724284,-0.000002411829380,0.620422673049524,0.000001874500050,0.000765424239111,-0.000002500000000,0.055011199877522,0.000000000000000,0.000000000000000,-0.000003030741806,-0.000000149588146,-0.005880253441257,-0.000001727055975,0.015380800000000,0.000000000000000,-1.260000000285410,-1778.844372996660000,4460.300000000000000,-13790.109072939700000,34578.400000000000000,-26290.378663010100000,72747.799999999900000,0.007181667498295,0.000000000000001,-0.140246619015728,-3993.730687122120000,-663.289999999999000,0.000000000000000,0.000000000000000,0.560294051744309,-3998.378140177780000,-0.003464967190696,6.764170544772000,-46307.758444530700000,0.000018910437802,-0.000000765500839,0.000004600000000,0.018390343468227,-0.799999999996479,-0.000000319360100,0.000000150000000,48491.800000000000000,-1.088216000013070,0.000000000000000,-0.000001500405930,-0.000025918337591,-0.007923537063680,3991.819168966280000,0.000000200000000,0.000000000000000,0.018094040603475,-3.441325830285810,0.000000000000000,0.499999999886653,16.676500000664400,0.000000000000000,-0.000829120006396,-0.008175365474420,-0.021767434291916,0.000000683216347,0.000000000000000,-0.001663859090208,-0.000003000000000,-0.000000808469639,-0.001135644276321,-16.950880000812700,-0.001334443653667,0.019069051731275,30817.468713939700000,0.055608705932450,-0.066800895428441,0.000014207796822,0.000000000000000,0.000002759436198,-0.007151387365559,-0.000013949735813,0.000000156839633,-0.007810119368887,0.000004243428075,647.488866699993000,-174.052939281950000,0.000000557255267,-0.000397920764304,1.284821999052800,-0.050695158091768,-0.000001588880184,3.935954371240400,-0.538200395469955,-1.406999999725400,0.000195497143048,7.154900769586590,20823.241802391900000,0.000000420569703,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-1.881937585227800,0.000000000000000,0.003403689269082,0.000000754261700,-0.000006906549128,0.000001005032251,0.048858582914911,-0.002300338916983,-0.000000020600732,-0.004095042253889,-0.001075734337481,27.295791985511300,-0.000785488286561,0.006101064482720,0.000001051584553,-0.000006206638096,-0.000730632409208,-10.714575000326000,0.000448472353299,-6.600000001856910,0.000114147048055,0.000517470905466
2028,-0.001203340419408,-0.000004726441632,0.000001785126585,0.617588485099444,-0.000001068141062,0.000540305158783,0.000001300000000,0.103014399865094,0.000000000000000,0.000000000000000,-0.000000501549856,-0.000000215668671,-0.005999216200749,0.000000438366895,0.015380800000000,0.000000000000000,-1.020000000021300,-1902.091965223980000,4796.330000000000000,-14745.333791226800000,37183.200000000000000,-28375.683066531300000,78821.100000000100000,0.072336111197922,0.000000000000001,-0.138635799658077,-4225.855900275000000,-663.270000000000000,0.000000000000000,0.000000000000000,-0.373505322961298,-4167.781353274100000,-0.003293501363142,-24.123386597965900,-47270.549065258200000,-0.000028992201167,0.000000513847613,-0.000001200000000,-0.440244120486820,-0.699999999902925,0.000002487541754,0.000000300000000,52144.899999999900000,-1.480958000008740,0.000000000000000,0.000000763737655,0.000011396992436,-0.003159447837528,4170.441080393870000,-0.000000250000000,0.000000000000000,0.006968743271107,-1.379930962411540,0.000000000000000,-0.500000000145668,10.323470000552000,0.000000000000000,0.005921119999572,-0.007367301770739,-0.022787795881620,-0.000002104560992,0.000000000000000,-0.002016325013423,0.000002000000000,-0.000002199571859,0.001188042050431,-25.337410000955400,-0.001208559656166,0.016189966318955,31911.991567228600000,0.054895076250295,-0.065046357214109,-0.000164805807927,0.000000000000000,-0.000001681614940,-0.008049459215694,0.000017663201575,0.000003081049444,-0.008039105308521,-0.000010660439925,617.790608200000000,-175.063132765374000,-0.000000217567171,0.000681993040466,6.389280198969230,-0.048978717173630,0.000002684298293,3.920644870211830,-1.207644732154960,0.339999999773913,-0.003091566936131,-4.034111166137340,20679.205694131900000,0.000000007761697,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-2.542371536034410,0.000182500000000,0.005488613669353,-0.000000611980200,0.000053883306320,-0.000005081297871,0.046767485485322,-0.000521519034318,-0.000000056623187,0.000374311679617,0.000018146932239,-22.636935292463000,0.000320661203433,0.005860230902018,0.000000270158471,0.000004392118869,0.001008535244740,-38.473942000311300,-0.000184545889543,2.800000000863430,-0.000056715234501,0.000466533395714
2029,-0.000796658959005,0.000001841391382,-0.000000433369877,0.617363399585588,0.000001252363463,0.000364282027403,0.000002600000000,0.006607999889506,0.000000000000000,0.000000000000000,-0.000001318184183,0.000000250460479,-0.005433249884662,0.000000486900020,0.015380800000000,0.000000000000000,1.670000000461750,-2030.968278160440000,5115.799999999990000,-15744.619284653700000,39660.000000000000000,-30570.317553226500000,84664.600000000000000,-0.010254688502265,0.000000000000001,-0.138611943466792,-4458.475925788640000,-664.649999999999000,0.000000000000000,0.000000000000000,0.066942138240555,-4298.113391351270000,-0.003129141982725,-51.667126158166200,-48290.380738081200000,0.000029013301563,0.000000649594685,-0.000000800000000,0.026144826787458,1.500000000015830,-0.000000892732436,-0.000000250000000,55618.200000000100000,-1.414766000010160,0.000000000000000,-0.000000342089045,-0.000003759912641,-0.002327751476880,4300.778613406370000,0.000000050000000,0.000000000000000,0.003821982329341,-2.898183935789150,0.000000000000000,-1.499999999893540,-13.938707999990600,0.000000000000000,0.038184500007498,-0.007019340076839,-0.020943090434156,0.000000139749073,0.000000000000000,-0.002204526875584,0.000001000000000,-0.000001706804301,0.001321924717658,4.986680001425910,-0.000683524975719,0.014135813153027,31428.494837788300000,0.053616232894940,-0.064894214188019,-0.000118662643655,0.000000000000000,-0.000012916323384,-0.007875586640603,-0.000020624009487,-0.000010828545968,-0.008270197773816,-0.000023289942153,581.092246300005000,-176.030215753975000,-0.000001200008962,-0.000492469611435,-3.556324301268000,-0.048845187786321,0.000000804173571,3.897315176194100,-0.235500336269600,0.117000000199642,-0.000163077500721,5.548909895963030,17099.475881034400000,-0.000000109315811,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-1.872020630801040,0.000490000000000,0.007104484773614,0.000000426413000,0.000010510924749,0.000000647761577,0.044895641781480,-0.001053212540872,0.000000858851349,0.000368522627495,0.000454953155896,15.667324884431600,0.001289031873498,0.005512796136420,-0.000001680066952,0.000000414522516,0.000343042947407,-63.096729999340500,-0.000773052214577,31.000000000050200,-0.000108189302864,0.000442880338253
2030,-0.000313371270195,0.000001616473949,-0.000000456022177,0.618131531562434,0.000000613468948,0.000211503418403,-0.000001100000000,-0.148160000107168,0.000000000000000,0.000000000000000,-0.000000966087098,0.000000081441627,-0.004947621563125,0.000000431932220,0.015380900000000,0.000000000000000,0.969999999583331,-2165.421064032550000,5436.820000000000000,-16786.903771083800000,42148.699999999900000,-32873.480553139800000,90537.099999999900000,0.002422542598722,0.000000000000001,-0.138811837448654,-4691.041072479000000,-664.500000000000000,0.000000000000000,0.000000000000000,0.449188983673534,-4414.201541548450000,-0.002973750702790,6.439211251737730,-49390.047555756500000,0.000027639961877,0.000000174798824,-0.000000200000000,-0.083574471813569,-0.799999999996479,-0.000000674910267,-0.000000450000000,59108.100000000000000,-1.379014000016110,0.000000000000000,-0.000000105232203,-0.000002954604519,-0.002015795670230,4412.212885806130000,-0.000000050000000,0.000000000000000,0.002550161662809,-1.321829447824120,0.000000000000000,-1.399999999973810,23.517475997213700,0.000000000000000,-0.005586074990942,-0.006856189101532,-0.019972901301113,0.000001432230083,0.000000000000000,-0.002331735428235,-0.000003999999999,0.000000060530450,0.000995156566535,1.415059998691300,-0.001270360906761,0.012451166985980,30666.668020654000000,0.052212258428264,-0.064979618230222,-0.000099920071407,0.000000000000000,0.000017676390786,-0.008024322337509,0.000008336816384,0.000025138274989,-0.008507156583272,0.000024161358370,539.693767599996000,-176.971504302570000,-0.000001183915919,-0.000204578213446,-0.676198800747180,-0.048946223770697,0.000001611237986,3.872496376419850,0.292389813457750,0.088999999773763,0.000451401477601,-18.239385367178100,15063.940720916100000,-0.000000134932437,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-2.817741012190520,0.000753800000000,0.008357303363275,-0.000000457307900,0.000030603584706,0.000004219584374,0.043166550059249,-0.001009920582837,-0.000000991101547,0.000369473021244,0.000801512060084,-20.097392033189700,-0.001266401745585,0.005156025525708,-0.000000115915441,-0.000002338607439,0.000344351277591,-23.978239997183600,0.001109495163450,-15.199999999636300,-0.000030549732164,0.000427135323887
2031,0.000789518712076,-0.000002268697829,-0.000000342172287,0.621353066236571,0.000001011159021,0.000173435562622,-0.000001500000000,-0.164364800105019,0.000000000000000,0.000000000000000,-0.000000334890494,-0.000000318312365,-0.004033326100983,0.000000407858307,0.015380800000000,0.000000000000000,0.530000000595177,-2309.471701725370000,5883.760000000010000,-17903.689434464200000,45613.400000000000000,-35276.112807457200000,96210.000000000000000,0.003257119999129,0.000000000000001,-0.137598166774364,-4930.357378241890000,-683.760000000000000,0.000000000000000,0.000000000000000,-0.094765382765272,-4669.296579784100000,-0.002825931858274,42.290248099783000,-50515.853951643000000,-0.000043302596461,-0.000000707238213,0.000002000000000,0.046614128525814,-1.699999999917920,0.000001888372908,0.000000250000000,63967.300000000100000,-1.232373000016130,0.000000000000000,-0.000000313681351,-0.000006806558131,-0.002088486984137,4666.585352922000000,-0.000000300000000,0.000000000000000,0.002666247372541,-3.275981417385080,0.000000000000000,3.000000000126820,-35.062362002095700,0.000000000000000,0.017380979998047,-0.007087232661600,-0.019349277596905,-0.000000415203194,0.000000000000000,-0.002438285773376,0.000004000000000,0.000000676833914,0.000271160019111,32.923220001214400,-0.000724528915805,0.009960308821328,31612.402090132300000,0.052416483793438,-0.063661208691228,-0.000083141553677,0.000000000000000,0.000008109530404,-0.007601697824218,-0.000017708639691,0.000001227069266,-0.008718158760406,-0.000010970059696,497.195168900000000,-68.397823556224900,0.000003135021268,-0.000665360468750,9.350076098755310,-0.047649977232267,0.000001294032429,3.860501419358440,-0.199310417433072,1.269000000116420,-0.001315651713144,-14.579648805593800,14148.549336061200000,0.000000343720044,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-3.243109907651440,0.000910900000000,0.009393318089530,-0.000000959278300,-0.000006561841938,-0.000000224642360,0.041609253335942,0.002190091549619,-0.000000276600369,0.000371763001342,0.001021318953224,-3.347796464310550,0.000743865592532,0.005306256097638,-0.000000134097758,-0.000002571785299,0.001317848764287,-28.790980001788300,0.000355538880968,-19.100000002013000,-0.000177866383101,0.000428280316205
2032,0.000174193195848,0.000001619577066,0.000000331623346,0.622683526129633,0.000001182513660,0.000087001870216,-0.000001500000001,-0.228284800068632,0.000000000000000,0.000000000000000,0.000000759183384,0.000000113598857,-0.003999045365547,0.000000332577010,0.015380800000000,0.000000000000000,0.660000000042936,-2458.543617471600000,6198.159999999990000,-19059.342119835400000,48051.000000000000000,-37769.470511298500000,101693.000000000000000,-0.000866887995981,0.000000000000001,-0.138609754525157,-5172.192586783130000,-690.920000000000000,0.000000000000000,0.000000000000000,-0.285983635230295,-4736.658122795720000,-0.002685376991399,7.441417705872740,-51652.232260160900000,0.000063087182388,0.000000668811734,-0.000002200000000,-0.120923551543883,0.099999999962624,-0.000002603067743,-0.000000100000000,67385.399999999900000,-1.585245000032770,0.000000000000000,0.000000593643033,0.000008491830887,-0.002250193620743,4737.689278908330000,0.000000000000000,0.000000000000000,0.004363877144926,-2.574446868858390,0.000000000000000,0.000000000035820,8.278548001300320,0.000000000000000,0.002100165002109,-0.007008854164727,-0.019493797576671,0.000000088974631,0.000000000000000,-0.002551235889598,-0.000001000000000,0.000000757688275,0.000639797340001,-14.861060000956500,-0.001949285533084,0.008536241385899,32107.491229735900000,0.050506864731053,-0.064594597449518,-0.000083746723224,0.000000000000000,-0.000009230894426,-0.008148055312946,0.000005511854837,-0.000003104902341,-0.008952106377135,0.000012757914751,457.496458400014000,-68.673976976977800,-0.000002534661328,-0.000175922499328,-1.786169201041270,-0.048577466833285,0.000000035366722,3.852758126859900,-0.201910654695659,0.850999999654611,0.002232529062393,19.592049777482900,13033.237349114600000,-0.000000160549497,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-1.045126671562740,0.000921300000000,0.010175676313327,0.000002224151700,-0.000023164825007,0.000000180501148,0.040000690025505,0.000945962369304,0.000000051491891,0.000372908633978,0.000879610250981,-18.769555702360900,-0.000573213547317,0.004780757073213,-0.000001056326786,-0.000002316516267,0.000382983888358,-32.405240001039500,-0.000842739208302,-4.600000001694280,-0.000615687684094,0.000423228895535
2033,0.000542824095392,-0.000000172721666,0.000001821959124,0.624443107085538,-0.000001860092463,0.000016636631541,0.000000700000001,-1.058272000003970,0.000000000000000,0.000000000000000,0.000001750742578,0.000000178920876,-0.004078232008148,0.000000376564392,0.015380800000000,0.000000000000000,-0.360000000392610,-2614.861650025370000,6588.910000000000000,-20271.192510296100000,51080.200000000100000,-40387.192241461500000,108382.000000000000000,-0.000341863598322,0.000000000000001,-0.138633841621787,-5416.760736216520000,-698.790000000000000,0.000000000000000,0.000000000000000,0.040241650359347,-4881.863802250450000,-0.002551814601514,3.058942141140670,-52741.723235074100000,-0.000052964172675,-0.000000048346528,-0.000000200000000,0.182303680830612,1.300000000052040,0.000000252490251,-0.000000050000000,71633.700000000100000,-1.601668999992290,0.000000000000000,-0.000000218677428,-0.000003028266000,-0.002242393277660,4878.696253618720000,0.000000000000000,0.000000000000000,0.004519703843188,-3.100715211822780,0.000000000000000,0.000000000035820,2.216948002670550,0.000000000000000,-0.004375100002440,-0.006993435579666,-0.019065046129060,-0.000001327213842,0.000000000000000,-0.002677199500610,0.000000000000000,0.000001119809940,0.000331984004902,52.133500002409000,-0.000808738720445,0.006710718661995,34229.446697889500000,0.049513085257927,-0.064554829387963,-0.000072741763642,0.000000000000000,-0.000000058795095,-0.008381082099865,0.000005693536037,0.000007915005019,-0.009190151411857,0.000011729393314,421.797646900000000,-69.021447493083900,-0.000000969838733,-0.000601990616009,13.477773398649800,-0.048576420209926,-0.000000658709591,3.846871034304570,0.330621606084183,-0.630000000548421,-0.000813812206353,-11.928771404364500,12166.890890723900000,0.000000030911387,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-2.931219217938750,0.000842600000000,0.010826232230819,-0.000000702723900,0.000009994090731,-0.000004280598296,0.038457745593112,-0.000829442082442,-0.000000121732600,0.000373233054181,0.000987194962807,14.649372838968900,0.000649388232888,0.004555365283529,0.000003825546731,-0.000002587678883,0.000891658276705,-41.870260001989500,-0.000303442411881,2.899999998632480,0.001440497297593,0.000408311822583
