OBS,VNM_CAN_0,VNM_CANOTH_0,VNM_CANRATIO_0,VNM_CLIMLOSS_0,VNM_CMUD_0,VNM_CO2_0,VNM_COALC_0,VNM_CTAX_0,VNM_CTAXR_0,VNM_CXS_0,VNM_CXUD_0,VNM_DEP_0,VNM_EC_0,VNM_EFEX_0,VNM_EFF_0,VNM_ENAB_0,VNM_EXP_0,VNM_EXPE_0,VNM_EXPEB_0,VNM_EXPH_0,VNM_EXPHB_0,VNM_EXPSP_0,VNM_EXPSPB_0,VNM_EXR_0,VNM_FINC_0,VNM_FUELSH_0,VNM_GASC_0,VNM_GCARB_0,VNM_GCARBB_0,VNM_GCARBR_0,VNM_GCARBRB_0,VNM_GCOM_0,VNM_GCR_0,VNM_GDFXSH_0,VNM_GDI_0,VNM_GDN_0,VNM_GDNRATIO_0,VNM_GINI_DISP_0,VNM_GINT_0,VNM_GIP_0,VNM_GLN_0,VNM_GLNRATIO_0,VNM_GLNT_0,VNM_GOTH_0,VNM_GTRADE_0,VNM_GTRADER_0,VNM_HEAD19_0,VNM_HEAD55_0,VNM_HIC_0,VNM_IGR_0,VNM_INFT_0,VNM_INT_0,VNM_IPR_0,VNM_ITAX_0,VNM_ITAXR_0,VNM_ITR_0,VNM_K_0,VNM_KSTAR_0,VNM_LABSH_0,VNM_LFN_0,VNM_LIVES_0,VNM_LNN_0,VNM_LNNF_0,VNM_LOCK_0,VNM_LRX_0,VNM_LTI_0,VNM_MTD_0,VNM_MTN$_0,VNM_MTN_0,VNM_MTR$_0,VNM_MTR_0,VNM_OGC_0,VNM_OGI_0,VNM_OILC_0,VNM_OMS_0,VNM_OXS_0,VNM_PC_0,VNM_PCR_0,VNM_PE_0,VNM_PG_0,VNM_PM25_0,VNM_POIL_0,VNM_POPT_0,VNM_POPWA_0,VNM_PR_0,VNM_PREM_0,VNM_PROF_0,VNM_RC_0,VNM_REFEX_0,VNM_REL_RED_0,VNM_REMIT_0,VNM_REV_0,VNM_REVG_0,VNM_RPDI_0,VNM_SCR_0,VNM_SDLI_0,VNM_SHAREE_0,VNM_SHAREH_0,VNM_SHARESP_0,VNM_SHAREX_0,VNM_SOLV_0,VNM_TAX_0,VNM_TAXR_0,VNM_TECHL_0,VNM_TFP_0,VNM_TOURSH_0,VNM_URX_0,VNM_URXF_0,VNM_USER_0,VNM_WDR_0,VNM_XTD$_0,VNM_XTDNO$_0,VNM_XTN$_0,VNM_XTN_0,VNM_XTR$_0,VNM_XTR_0,VNM_YBAR_0,VNM_YED_0,VNM_YEN$_0,VNM_YEN_0,VNM_YER$_0,VNM_YER_0,VNM_YFT$_0,VNM_YFT_0,WLD_CO2_0,WLD_COALC_0,WLD_DD$_0,WLD_EC_0,WLD_GASC_0,WLD_HIC_0,WLD_LOCK_0,WLD_MTN$_0,WLD_MTR$_0,WLD_OILC_0,WLD_PC_0,WLD_PE_0,WLD_PG_0,WLD_POIL_0,WLD_POPT_0,WLD_POPWA_0,WLD_PR_0,WLD_RC_0,WLD_TECHL_0,WLD_XTN$_0,WLD_XTR$_0,WLD_YEN$_0,WLD_YER$_0,WLD_YFT$_0,USA_INFT_0,USA_INT
2010,-4.276000000,-3.014941506,-3.688377001,24080.345620867,1.043022294,136.113100000,0.609326486,148655.000000000,0.141321501,0.321408927,1.066440331,0.029778963,1.872873011,1.075351939,0.615232438,0.650000000,649907.000000000,8690.782074126,8690.782074126,61960.909425858,61960.909425858,118946.249614301,118946.249614301,18612.916666667,21.369493484,0.023033401,0.326625480,-57941.620684248,-57941.620684248,-22.870532711,-22.870532711,31353.610664789,188393.200259579,0.512000000,3009337.823193030,1009568.575000000,46.786332136,34.900000000,2.515926172,25400.000000000,-61671.281689671,-2.858025834,-2.858025834,135307.728329788,74068.000000000,0.047672403,4.000000000,46.800000000,0.691731234,233058.460387673,5.000000000,9.000000000,641929.936634182,218649.000000000,0.147785758,874988.397021856,7537294.274415230,7419413.248516160,0.456717171,51252.442107392,0.221000000,50683.540000000,24175.036000000,0.000000000,0.833721511,13.135250000,0.823695819,92.994658822,1730901.835107200,96.848863541,2101384.753982520,194408.794829590,240500.264056125,0.668223327,0.077144202,0.079057138,4.869914585,2138836.202993510,12.086019363,9.032460040,39.365396988,11.474993972,87967.655000000,61474.295000000,33.681422246,324.120826368,1051892.312436350,0.268697718,0.852818828,13.827160494,153742.691942000,588235.718310329,11868.000000000,1651878.491947390,54266.137003294,0.639752610,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,26276.000000000,0.024032161,3.432843672,-0.001521324,0.036909686,1.110000000,1.080000000,12.942150393,833.689958073,0.909720485,0.857352095,83.473600313,1553687.166500000,91.757415268,1990912.711399220,7.168303385,0.685893147,115.931749905,2157828.000000000,144.993760001,3146011.894694940,144.058324952,3125715.229579900,32051.022700000,150.714236860,64596.122396515,506.159093112,113.661917674,0.833421185,0.000000000,18451.510055715,17461.220607579,172.449749081,105.430833333,13.474291095,10.909390509,79.634750471,6956823.588000000,4553594.295000000,0.121253120,69.333189498,15.451541429,19071.078166364,17588.960169363,66272.559242628,64723.861958299,65387.158483287,2.000000000,0.136666667
2011,0.233000000,-2.765402438,0.171905685,25583.030626438,1.111745041,145.047800000,0.726157248,196058.000000000,0.144678522,0.323439171,1.149068850,0.034437783,2.131589424,0.938678996,0.630613249,0.650000000,751298.000000000,9770.417023002,9770.417000000,71511.134221433,71511.130000000,142669.129018990,142669.100000000,20509.750000000,21.369493484,0.025397000,0.294595200,-77106.226202441,-77106.230000000,-25.918981717,-25.918980000,38345.089957324,201812.498919350,0.512000000,3192247.849317740,1266472.166371060,45.558519302,34.900000000,2.351887455,29786.000000000,-31892.768625752,-1.147271416,-1.147271000,157257.371374248,81406.000000000,0.036885849,3.350000000,43.800000000,0.820930942,206307.193569864,5.000000000,15.000000000,600315.976113500,272873.000000000,0.149292648,806623.169683365,8084349.737080240,8048390.000000000,0.459463582,52144.067676768,0.138000000,51622.627000000,24611.563000000,0.000000000,0.838570487,16.953833333,1.061437380,113.207546515,2321858.477136000,100.816198878,2187466.280250990,246040.853000000,251520.525455859,0.726673882,0.097963477,0.087902304,5.938066303,2226463.189991920,15.238723461,12.478864416,38.486974798,16.409724915,88871.384000000,62182.092573463,32.720477345,397.829094303,1355128.583694140,0.384163094,0.847601799,13.613861386,176383.850000000,719405.231374248,12103.000000000,1803662.826564610,89278.670153927,0.639752610,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,38469.000000000,0.028918021,3.456914489,0.011059664,0.040697200,1.000000000,0.900000000,18.002133763,939.939179020,1.058562340,0.956275479,107.605944977,2206971.030000000,101.652912541,2205620.931440460,7.489040494,0.831718600,135.539438560,2779880.000000000,154.041800776,3342332.370153930,153.041998255,3320639.087482270,33100.065400000,158.194709710,66973.302341088,518.795042425,116.413886357,0.875363915,0.000000000,21951.899898157,18797.671740041,174.161560201,125.736666667,16.213993212,14.729308830,111.082472081,7041194.167999990,4610817.378964790,0.117793718,70.024886157,15.466589564,22616.351937360,18668.980435548,73684.412633826,66844.611036595,67212.704978714,2.000000000,0.052500000
2012,9.267000000,-6.191800000,5.947247000,26925.470000000,1.099392000,135.685900000,0.673999300,215798.000000000,0.134831000,0.287318800,1.118636000,0.033666800,2.236365000,0.937784100,0.645994100,0.650000000,955967.900000000,10640.760000000,10640.760000000,90217.240000000,90217.240000000,172153.300000000,172153.300000000,20828.000000000,24.563310000,0.025601000,0.324992700,-99004.610000000,-99004.610000000,-35.032660000,-35.032660000,39093.600000000,216318.600000000,0.512000000,3473717.000000000,1561472.000000000,48.113100000,34.700000000,2.554257000,39884.000000000,-222519.700000000,-6.856424000,-6.856424000,192979.300000000,71276.000000000,0.027442700,2.700000000,40.800000000,0.895659700,247592.200000000,5.000000000,9.000000000,574137.700000000,258080.000000000,0.123397500,821729.900000000,8633905.000000000,8708855.000000000,0.464236300,52982.350000000,0.072000000,52436.630000000,25096.320000000,0.000000000,0.842189800,13.471670000,1.040712000,119.241800000,2483567.000000000,109.985200000,2386411.000000000,299860.600000000,343212.000000000,0.742126200,0.085539700,0.081155700,3.707265000,2335097.000000000,15.206710000,13.871170000,37.227450000,15.938830000,89801.930000000,62910.220000000,30.636030000,423.640200000,1600508.000000000,0.495246800,0.896889900,13.895780000,208280.000000000,733448.200000000,10267.000000000,1993696.000000000,-21123.710000000,0.635828200,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,44959.000000000,0.026297400,3.494775000,0.017576400,0.041024100,1.030000000,0.930000000,13.683280000,987.427200000,1.060183000,0.965105000,124.700600000,2597264.000000000,117.621700000,2552106.000000000,7.759153000,0.922592500,155.820000000,3245419.000000000,162.124900000,3517717.000000000,162.505000000,3525964.000000000,33659.000000000,158.914200000,68649.760000000,525.157500000,119.403600000,0.910758400,0.000000000,22203.030000000,19370.070000000,176.576700000,105.504200000,16.001030000,16.748170000,111.959600000,7125828.000000000,4668261.000000000,0.110289700,70.262970000,15.482050000,22944.630000000,19406.740000000,75257.250000000,68686.430000000,69110.430000000,2.000000000,0.085833333
2013,7.744000000,-6.951099000,4.522783000,28385.330000000,1.083173000,140.893200000,0.719894000,231146.000000000,0.131422900,0.240036100,1.125137000,0.031949500,2.349168000,0.945628300,0.661374900,0.650000000,1094123.000000000,14105.840000000,14105.840000000,107739.500000000,107739.500000000,197784.800000000,197784.800000000,20933.420000000,27.757130000,0.026751800,0.338749700,-34278.690000000,-34278.690000000,-11.622350000,-11.622350000,44096.690000000,232023.800000000,0.512000000,3590745.000000000,1852670.000000000,51.689030000,34.700000000,2.919246000,54084.000000000,-266810.000000000,-7.443931000,-7.443931000,149817.000000000,78253.000000000,0.026107100,2.650000000,37.900000000,0.954731100,266408.700000000,5.000000000,7.000000000,598862.300000000,300607.000000000,0.128197600,865271.000000000,9223327.000000000,9402129.000000000,0.464378600,54291.770000000,0.215000000,53575.120000000,25678.900000000,0.000000000,0.852919100,10.374170000,1.042748000,139.491300000,2920030.000000000,129.061500000,2800321.000000000,335355.400000000,385053.500000000,0.756383800,0.063871300,0.059801900,4.975727000,2456056.000000000,15.625000000,14.661630000,36.835910000,17.007440000,90752.590000000,63654.070000000,28.631010000,486.324100000,1758796.000000000,0.534140400,0.939284000,13.895780000,230267.600000000,827313.000000000,11124.000000000,2190288.000000000,-40095.840000000,0.635828200,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,46548.000000000,0.022908500,3.543957000,0.022838900,0.042868200,1.320000000,1.140000000,9.865695000,1049.723000000,1.037151000,0.970998600,143.186400000,2997380.000000000,138.057400000,2995509.000000000,8.049802000,0.966514000,171.222000000,3584262.000000000,170.915100000,3708443.000000000,174.179300000,3779268.000000000,33869.800000000,162.024400000,70596.350000000,535.112100000,121.354300000,0.943465400,0.000000000,22808.890000000,19940.770000000,178.451600000,90.896670000,15.174060000,16.169390000,108.844000000,7210582.000000000,4725831.000000000,0.103071600,73.281850000,15.497950000,23595.260000000,19920.850000000,77397.240000000,70576.430000000,71084.240000000,2.000000000,0.058333333
2014,8.617000000,-9.481200000,4.627704000,30083.810000000,1.060988000,159.582800000,0.869820900,207807.000000000,0.108670000,0.226877700,1.110168000,0.029995000,2.574476000,0.951190700,0.676755700,0.650000000,1123418.000000000,14383.100000000,14383.100000000,112264.900000000,112264.900000000,207752.800000000,207752.800000000,21148.000000000,30.950940000,0.027640700,0.354695400,-21899.210000000,-21899.210000000,-6.488929000,-6.488929000,46678.040000000,248265.000000000,0.512000000,3874327.000000000,2154636.000000000,54.715960000,34.600000000,3.097414000,66738.000000000,-247675.500000000,-6.289603000,-6.289603000,154008.600000000,95603.000000000,0.028097900,2.600000000,35.000000000,0.993727600,261461.500000000,5.000000000,6.500000000,683896.700000000,334651.000000000,0.129208000,945358.300000000,9892032.000000000,10128790.000000000,0.469285000,55002.130000000,0.038000000,54309.110000000,26054.450000000,0.000000000,0.853977800,8.665000000,1.036290000,154.791500000,3273530.000000000,145.587400000,3158893.000000000,351789.900000000,370489.300000000,0.779191500,0.057567800,0.051631500,4.596722000,2606367.000000000,14.502240000,15.106850000,34.896020000,15.735150000,91713.850000000,64406.980000000,27.538890000,452.535100000,1912275.000000000,0.570767900,0.960072300,14.143920000,253776.000000000,875742.500000000,11050.000000000,2224985.000000000,-52548.670000000,0.633867900,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,47844.000000000,0.021863100,3.573428000,0.013830300,0.044292600,1.260000000,1.110000000,7.477025000,1110.045000000,1.044623000,0.998693900,160.889700000,3402495.000000000,154.017000000,3341794.000000000,8.390000000,1.001912000,186.204700000,3937856.000000000,181.142100000,3930343.000000000,184.733200000,4008261.000000000,34117.570000000,162.378000000,72616.510000000,540.148100000,122.241700000,0.973615700,0.000000000,23250.070000000,20566.130000000,179.581600000,77.887500000,14.320870000,16.329300000,98.943370000,7295291.000000000,4783420.000000000,0.099140000,75.946830000,15.514270000,23903.960000000,20676.320000000,79334.870000000,72726.700000000,73134.240000000,2.000000000,0.032500000
2015,-2.039380000,-16.568080000,-1.055355000,32093.200000000,1.000000000,184.435600000,1.098444000,200030.000000000,0.098713100,0.179416200,1.000000000,0.028498700,2.861806000,1.000000000,0.692136500,0.650000000,1254929.000000000,15058.800000000,15058.800000000,129728.200000000,129728.200000000,231960.300000000,231960.300000000,21697.570000000,30.899230000,0.028720200,0.370328400,-1622.309000000,-1622.309000000,-0.405394400,-0.405394400,53100.380000000,265544.800000000,0.512000000,4192862.000000000,2394031.000000000,57.097770000,34.500000000,3.426105000,82022.000000000,-258695.300000000,-6.169897000,-6.169897000,229323.000000000,99315.000000000,0.026383300,2.200000000,31.100000000,1.000000000,298954.900000000,5.000000000,6.500000000,734825.000000000,347521.200000000,0.121956900,1033780.000000000,10643900.000000000,10887610.000000000,0.473030700,55603.960000000,0.052000000,54575.290000000,26076.680000000,0.000000000,0.853306700,7.117500000,1.000000000,171.961700000,3731151.000000000,171.961700000,3731151.000000000,374519.600000000,421640.600000000,0.870062900,0.038476400,0.026320900,4.217676000,2849540.000000000,9.802152000,9.744925000,32.466440000,8.537472000,92677.080000000,65162.930000000,23.676320000,397.829100000,2026377.000000000,0.522970500,1.000000000,14.392060000,282068.400000000,996234.200000000,11844.000000000,2371691.000000000,10828.510000000,0.631908800,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,56723.000000000,0.023474100,3.597143000,0.011218000,0.046022400,1.850000000,1.700000000,5.511423000,1120.400000000,1.000000000,1.000000000,173.490400000,3764320.000000000,173.490400000,3764320.000000000,8.987500000,1.000000000,193.241100000,4192862.000000000,193.241100000,4192862.000000000,195.621200000,4244504.000000000,34043.370000000,158.514500000,74684.700000000,545.080900000,125.087800000,1.000000000,0.000000000,20966.300000000,20966.300000000,183.489200000,63.516680000,9.750210000,10.305360000,52.399420000,7379797.000000000,4840924.000000000,0.085234700,77.989420000,15.530920000,21267.340000000,21267.340000000,74985.740000000,74985.740000000,75255.980000000,2.000000000,0.053333333
2016,0.624539000,-18.633760000,0.304243300,34086.440000000,0.962216000,185.432200000,1.188646000,188485.000000000,0.087148300,0.167029800,0.969458200,0.027136700,3.088531000,1.015825000,0.707517300,0.650000000,1253677.000000000,15529.910000000,15529.910000000,137673.900000000,137673.900000000,225872.300000000,225872.300000000,21935.000000000,30.847510000,0.029950100,0.368591400,-2247.070000000,-2247.070000000,-0.552451000,-0.552451000,57311.900000000,285566.900000000,0.512000000,4586039.000000000,2686427.000000000,59.662140000,34.500000000,3.230425000,86783.000000000,-178429.000000000,-3.962682000,-3.962682000,273899.200000000,96125.000000000,0.022802000,1.800000000,27.200000000,1.026682000,297902.600000000,4.750000000,6.500000000,838408.800000000,385338.000000000,0.122752700,1136311.000000000,11491370.000000000,11675020.000000000,0.474714800,55859.180000000,0.162000000,54825.790000000,26242.340000000,0.000000000,0.851727900,6.960000000,0.953230800,186.929300000,4100294.000000000,198.246700000,4301470.000000000,385580.900000000,402237.000000000,0.930773100,0.033705000,0.017101800,4.713275000,3057557.000000000,9.202888000,6.543635000,30.241310000,7.162425000,93640.440000000,65583.360000000,22.884250000,397.829100000,2162807.000000000,0.600520900,1.024930000,14.603960000,307090.000000000,1075248.000000000,8378.000000000,2485699.000000000,-10872.790000000,0.631908800,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,67958.000000000,0.026486700,3.613838000,0.007925440,0.047993300,1.850000000,1.700000000,5.393721000,1145.903000000,0.972895100,0.975196800,192.187600000,4215636.000000000,197.542000000,4286181.000000000,9.585000000,1.011106000,205.276200000,4502733.000000000,205.243000000,4453273.000000000,205.855200000,4466557.000000000,34034.530000000,156.461200000,76561.060000000,552.830300000,127.963800000,1.026962000,0.000000000,20398.860000000,21292.300000000,186.830100000,71.122640000,8.680846000,6.936873000,44.047520000,7464022.000000000,4890502.000000000,0.082383300,81.575150000,15.547780000,20921.110000000,21737.000000000,76173.810000000,77005.760000000,77318.910000000,2.000000000,0.319166667
2017,-1.650873000,-22.921870000,-0.737721900,36408.490000000,0.996121400,182.584000000,1.187695000,217200.000000000,0.089247700,0.196725700,1.004799000,0.025924200,3.306803000,1.004251000,0.722898100,0.650000000,1355034.000000000,17508.060000000,17508.060000000,141950.300000000,141950.300000000,262748.500000000,262748.500000000,22370.090000000,30.795790000,0.032499500,0.342744800,-4096.491000000,-4096.491000000,-1.002955000,-1.002955000,65636.110000000,306541.600000000,0.512000000,4945973.000000000,2914618.000000000,58.222790000,34.500000000,3.393274000,98901.000000000,-123612.700000000,-2.469303000,-2.469303000,335475.700000000,97018.000000000,0.019076500,1.800000000,24.800000000,1.062832000,328494.900000000,4.500000000,6.250000000,923719.700000000,433825.000000000,0.124357800,1252215.000000000,12445680.000000000,12484990.000000000,0.467717500,56466.010000000,0.284000000,55410.090000000,26516.730000000,0.000000000,0.855593400,7.067500000,0.978482800,221.074700000,4945460.000000000,232.939100000,5054212.000000000,402548.600000000,431377.500000000,0.974317600,0.035810100,0.027988500,6.566533000,3282289.000000000,10.837090000,7.615740000,29.626730000,8.824344000,94600.640000000,65996.310000000,20.982730000,397.829100000,2433676.000000000,0.802046000,1.026400000,14.603960000,335551.300000000,1231421.000000000,7580.000000000,2633109.000000000,-33674.470000000,0.631908800,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,78783.000000000,0.028138600,3.633180000,0.009046420,0.052078600,1.870000000,1.700000000,5.665556000,1223.159000000,0.985883200,0.984376900,227.345700000,5085742.000000000,230.601000000,5003481.000000000,10.182500000,1.052418000,223.779900000,5005975.000000000,219.224600000,4756640.000000000,217.855600000,4726937.000000000,34447.750000000,157.396800000,79229.440000000,563.170700000,131.432300000,1.060030000,0.000000000,22495.820000000,22548.440000000,189.426800000,99.422220000,9.807534000,8.095130000,54.400910000,7547859.000000000,4939699.000000000,0.075537800,84.914740000,15.564690000,23014.620000000,22915.970000000,81056.930000000,79596.970000000,79428.980000000,2.000000000,0.946666667
2018,5.768853000,-18.462850000,2.352582000,38984.680000000,1.027579000,211.774100000,1.582250000,251156.000000000,0.092989300,0.196725700,1.043976000,0.025501400,3.727491000,0.976689800,0.738278900,0.650000000,1435435.000000000,20594.300000000,20594.300000000,158229.600000000,158229.600000000,268885.800000000,268885.800000000,22602.050000000,30.795790000,0.033855400,0.347747400,-13825.610000000,-13825.610000000,-2.888442000,-2.888442000,72695.720000000,325791.300000000,0.512000000,5253839.000000000,3049894.000000000,55.029080000,34.400000000,3.597436000,109718.000000000,-71565.990000000,-1.291261000,-1.291261000,385562.000000000,87333.000000000,0.014889100,1.800000000,22.400000000,1.100456000,342504.000000000,4.250000000,6.250000000,1018027.000000000,478802.000000000,0.123585900,1360531.000000000,13488830.000000000,13309670.000000000,0.466595100,57027.340000000,0.134000000,56365.830000000,27010.950000000,0.000000000,0.858927800,7.371875000,0.996138200,251.282400000,5679497.000000000,262.772100000,5701515.000000000,428025.100000000,449982.200000000,1.037096000,0.035810100,0.027988500,7.207862000,3520581.000000000,10.993500000,9.360112000,29.500080000,11.422050000,95545.960000000,66393.640000000,19.033210000,373.423400000,2700912.000000000,0.760396600,1.008515000,14.851490000,361632.800000000,1363869.000000000,7779.865000000,2788712.000000000,-129432.000000000,0.629950800,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,94366.000000000,0.030671900,3.642739000,0.004459970,0.054251300,1.160000000,1.030000000,6.253523000,1296.805000000,0.984882500,0.974186800,259.514100000,5865550.000000000,263.497500000,5717254.000000000,10.780000000,1.088180000,245.213700000,5542332.000000000,234.736500000,5093210.000000000,230.090800000,4992412.000000000,35152.020000000,159.856200000,81779.480000000,578.636000000,138.054100000,1.098031000,0.000000000,24566.690000000,23603.420000000,191.207100000,111.693100000,11.123730000,10.049220000,71.071190000,7631091.000000000,4988373.000000000,0.068519600,89.518630000,15.581500000,25220.970000000,23915.430000000,86115.350000000,82091.490000000,81571.640000000,2.000000000,1.973333333
2019,12.477600000,-12.879900000,4.763873000,41720.400000000,1.048884000,247.708900000,2.067279000,273198.100000000,0.092707200,0.196725700,1.062799000,0.022948500,4.166350000,0.992099800,0.753659700,0.650000000,1747987.000000000,25170.420000000,25170.420000000,195132.300000000,195132.300000000,328481.100000000,328481.100000000,23050.240000000,30.795790000,0.034163700,0.354695400,-7031.795000000,-7031.795000000,-1.231542000,-1.231542000,79729.970000000,344688.500000000,0.512000000,5709375.000000000,3319307.000000000,54.979560000,34.400000000,3.762352000,124884.000000000,-252146.000000000,-4.176437000,-4.176437000,442658.100000000,81100.000000000,0.012578300,1.436201000,20.073600000,1.131230000,417448.400000000,4.000000000,6.000000000,1189854.000000000,512666.100000000,0.119902100,1607303.000000000,14786590.000000000,14140800.000000000,0.466595100,57308.150000000,0.059000000,56139.060000000,26881.770000000,0.000000000,0.858348400,7.707500000,1.012532000,271.362700000,6254976.000000000,284.712100000,6177559.000000000,485877.900000000,588441.300000000,1.103961000,0.035810100,0.027988500,5.844967000,3779696.000000000,9.112126000,9.355783000,29.386580000,10.383150000,96462.110000000,66765.600000000,17.332660000,318.103800000,2946892.000000000,0.640414300,1.029104000,14.851490000,391854.100000000,1495841.000000000,6688.000000000,2895191.000000000,-204490.400000000,0.629950800,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,106832.500000000,0.032280100,3.632453000,-0.004799290,0.054745300,2.040000000,2.010000000,6.615666000,1286.294000000,0.994798200,0.991405400,279.720200000,6447619.000000000,281.182900000,6100985.000000000,11.340670000,1.107644000,261.921200000,6037348.000000000,251.208900000,5450623.000000000,241.436600000,5238587.000000000,35173.700000000,157.685700000,83723.480000000,583.467900000,140.393600000,1.136186000,0.000000000,24094.660000000,23766.780000000,191.801200000,88.982510000,10.100350000,9.944670000,64.031920000,7713468.000000000,5036362.000000000,0.062397600,93.587270000,15.598090000,24742.860000000,24130.990000000,87445.260000000,84087.700000000,83733.790000000,2.000000000,2.104166667
2020,15.388920000,-12.512030000,5.680878000,42932.740000000,1.069862000,255.356700000,2.101594000,281831.500000000,0.092707200,0.196725700,1.084055000,0.021144500,4.089000000,0.997984000,0.769040500,0.650000000,1707948.000000000,26274.370000000,26274.370000000,203690.600000000,203690.600000000,357818.000000000,357818.000000000,23037.860000000,30.795790000,0.034163700,0.313653600,-7244.997000000,-7245.003000000,-1.231542000,-1.231542000,68198.170000000,361438.400000000,0.512000000,5901885.000000000,3688239.000000000,59.099630000,34.399600000,3.750352000,137847.700000000,-428458.700000000,-6.865537000,-6.865519000,189175.800000000,85741.000000000,0.012578300,1.359710000,19.541340000,1.167683000,471298.800000000,4.000000000,4.000000000,1153519.000000000,541452.900000000,0.119902100,1624818.000000000,16098750.000000000,14797270.000000000,0.466595100,56543.360000000,0.310000000,55259.820000000,26460.840000000,57.744100000,0.842608000,7.647500000,1.016294000,284.571200000,6555913.000000000,297.305300000,6450816.000000000,368067.500000000,614250.000000000,0.977265100,0.035810100,0.027988500,4.685542000,3867315.000000000,7.331104000,7.346043000,29.182350000,6.858916000,97338.580000000,67105.170000000,18.594660000,318.103800000,3040018.000000000,0.696487300,1.049476000,14.852780000,382059.400000000,1279489.000000000,5000.000000000,3039162.000000000,-198244.800000000,0.629942500,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,115330.200000000,0.032280100,3.630459000,-0.000928526,0.054745300,2.270000000,2.236618000,6.350676000,1224.813000000,1.002431000,1.011230000,295.888200000,6816627.000000000,295.171300000,6404499.000000000,11.478360000,1.112627000,270.889700000,6240721.000000000,258.508700000,5609010.000000000,250.897100000,5443856.000000000,33129.780000000,151.478600000,80530.490000000,558.726000000,137.445400000,1.170526000,47.991200000,21698.820000000,21596.560000000,173.727300000,71.331670000,8.027849000,7.808429000,42.298460000,7794799.000000000,5083544.000000000,0.066940500,96.074780000,15.608780000,22520.860000000,22184.710000000,85410.660000000,81118.630000000,84863.120000000,2.000000000,0.370000000
2021,30.092440000,-11.869210000,10.668960000,45723.360000000,1.091259000,265.711400000,2.183259000,301157.200000000,0.092707200,0.196725700,1.105736000,0.021684200,4.236468000,0.954077700,0.784421400,0.650000000,1743003.000000000,27713.030000000,27712.910000000,214843.300000000,214842.900000000,382494.900000000,382493.700000000,23623.660000000,30.795790000,0.034163700,0.325707300,-7730.466000000,-7730.472000000,-1.231542000,-1.231542000,71604.080000000,379634.300000000,0.512000000,6292152.000000000,4052762.000000000,60.823180000,34.399590000,3.719645000,155231.500000000,-399614.200000000,-5.997351000,-5.997363000,173650.300000000,99802.160000000,0.012578300,1.305734000,19.154700000,1.213028000,513972.700000000,3.900000000,3.692938000,1120831.000000000,573111.600000000,0.119902100,1634804.000000000,17384470.000000000,15376070.000000000,0.466595100,56822.760000000,0.276861000,55523.160000000,26586.910000000,15.036950000,0.842608000,7.493969000,1.079281000,312.117900000,7373361.000000000,314.862000000,6831753.000000000,314843.200000000,647882.400000000,1.004990000,0.035810100,0.027988500,4.842482000,3940421.000000000,8.599276000,7.737235000,28.982990000,10.701570000,98168.830000000,67436.760000000,20.536690000,318.103800000,3248476.000000000,0.722511600,1.019634000,14.852810000,430117.100000000,1343388.000000000,8130.000000000,3152795.000000000,-192627.100000000,0.629942700,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,123660.100000000,0.032280100,3.635856000,0.002517400,0.054745300,2.287171000,2.253535000,6.351176000,1328.281000000,1.034716000,1.031455000,335.872300000,7934529.000000000,324.604000000,7043116.000000000,11.580960000,1.115436000,282.055400000,6663184.000000000,275.312300000,5973595.000000000,263.966800000,5727438.000000000,33728.670000000,155.956600000,85410.650000000,567.549500000,138.891900000,1.211351000,1.766257000,24750.300000000,23472.260000000,175.041300000,73.720880000,9.748511000,8.224243000,65.995620000,7874966.000000000,5132531.000000000,0.073931800,97.659940000,15.623130000,25430.200000000,23871.600000000,93766.810000000,85810.000000000,87202.000000000,2.000000000,0.062937788
