Variable,Description,unit
VNM_LIVES,Lives lost from climate shocks,1000s
VNM_LNN,Employment,1000s
VNM_LNNF,Female employment,1000s
VNM_LOCK,Change in stringency of measures introduced to contain the pandemic,
VNM_LRX,Participation ratio,percent / 100
VNM_LTI,Long-term bond yield,percent per annum
VNM_MTD,"Deflator for Imports of Goods and Services, National currency, 2015 = 100",index
VNM_MTN,"Imports of goods and services, Current prices",bln LCY
VNM_MTN$,"Imports of goods and services, Current prices",USD
VNM_MTR,"Imports of goods and services, Constant 2015 prices",bln LCY
VNM_MTR$,"Imports of goods and services, Constant 2015 prices",bln USD
VNM_OGC,Other general government consumption expenditure,bln LCY
VNM_OGI,Other general government investment expenditure,bln LCY
VNM_OILC,Oil consumption,Exojoules
VNM_OMS,"Imports of Petroleum, petroleum products and related materials as a share of Total Merchandise imports plus Total Services imports",percent / 100
VNM_OXS,"Exports of Petroleum, petroleum products and related materials as a share of Total Merchandise exports plus Total Services exports",percent / 100
VNM_PC,"Domestic price of coal, inclusive of net carbon tax",USD per mln kJ
VNM_PCR,"Household consumption expenditure (including Non-profit institutions serving households), Constant 2015 prices",bln LCY
VNM_PE,"Domestic price of energy, inclusive of net carbon tax",USD per mln kJ
VNM_PG,"Domestic price of natural gas, inclusive of net carbon tax",USD per mln kJ
VNM_PM25,"PM2.5 air pollution, mean annual exposure",micrograms per cubic meter
VNM_POIL,"Domestic price of oil, inclusive of net carbon tax",USD per mln kJ
VNM_POPT,Total population,1000s
VNM_POPWA,Population aged 15-64,1000s
VNM_PR,Domestic price of renewable energy,USD per mln kJ
VNM_PREM,Country-specific risk premium,basis point
VNM_PROF,Profits,bln LCY
VNM_RC,"Consumption of non-fossil fuel energy (nuclear, hydro and renewables)",Exojoules
VNM_REFEX,"Real effective exchange rate, 2015 = 1",index
VNM_REL_RED,Relative redistribution parameter (percentage difference between Gini Coefficients measures in terms of gross and disposable income),
VNM_REMIT,Inflow of personal remittances,bln LCY
VNM_REV,General government revenue,bln LCY
VNM_REVG,"General government revenue, grants",bln LCY
VNM_RPDI,"Real personal disposable income, Constant 2015 prices",bln LCY
VNM_SCR,"Accumulation of inventories, Constant 2015 prices",bln LCY
VNM_SDLI,Standard deviation of log income,
VNM_SHAREE,Share of carbon revenue spent on environmental protection,percent / 100
VNM_SHAREH,Share of carbon revenue spent on health,percent / 100
VNM_SHARESP,Share of carbon revenue spent on social protection,percent / 100
VNM_SHAREX,Share of carbon revenue spent on energy efficiency gains,percent / 100
VNM_SOLV,Solvency rule switch,
VNM_TAX,"General government taxes on income, profits, and capital gains, payable by individuals, plus social contributions",bln LCY
VNM_TAXR,Income tax rate,
VNM_TECHL,"Labour augmenting technical progress trend, indexed to GDP per employee in 2015",index
VNM_TFP,Trend TFP growth rate,log diff
VNM_TOURSH,Travel and transport services exports as a share of nominal GDP,% GDP
VNM_URX,Unemployment Rate (ILO definition),percent / 100
VNM_URXF,Female unemployment Rate (ILO definition),
VNM_USER,User cost of capital,percent / 100
VNM_WDR,"Trade-weighted external demand, Constant 2015 prices",bln USD
VNM_XTD$,"Deflator for  Export of Good & Services, 2015 =100",USD
VNM_XTDNO$,"Non-oil export price deflator, 2015 =100",USD
VNM_XTN,"Exports of goods and services, Current prices",bln LCY
VNM_XTN$,"Exports of goods and services, Current prices",bln USD
VNM_XTR,"Exports of goods and services, Constant 2015 prices",bln LCY
VNM_XTR$,"Exports of goods and services, Constant 2015 prices",bln USD
VNM_YBAR,"Survey mean consumption or income per capita, total population (2011 PPP $ per day)",2011 PPP % per day
VNM_YED,"Deflator for  GDP, National Currency, 2015 =100",LCY
VNM_YEN,"Gross Domestic Product (GDP), Current prices",bln LCY
VNM_YEN$,"Gross Domestic Product (GDP), Current prices",bln USD
VNM_YER,"Gross Domestic Product (GDP), Constant 2015 prices",bln LCY
VNM_YER$,"Gross Domestic Product (GDP), Constant 2015 prices",bln USD
VNM_YFT,"Trend output, Constant 2015 prices",bln LCY
VNM_YFT$,"Trend output, Constant 2015 prices",bln USD
WLD_CO2,Territorial carbon dioxide emissions,MtCO2
WLD_COALC,Coal consumption,Exojoules
WLD_DD$,"Domestic demand,  Constant 2015 prices",bln USD
WLD_EC,Primary energy consumption,Exojoules
WLD_GASC,Natural gas consumption,Exojoules
WLD_HIC,"Consumer Price Index, Period Average, 2015=100",index
WLD_LOCK,Change in stringency of measures introduced to contain the pandemic,
WLD_MTN$,"Imports of goods and services,  Current prices",bln USD
WLD_MTR$,"Imports of goods and services, Constant 2015 prices",bln USD
WLD_OILC,Oil consumption,Exojoules
WLD_PC,"Price of coal,  Asian marker price",USD
WLD_PE,"Domestic price of energy, inclusive of net carbon tax",USD per mln kJ
WLD_PG,"Price of natural gas, LNG Japan CIF",
WLD_POIL,"Global price of oil,  Brent crude",
WLD_POPT,Total population,1000s
WLD_POPWA,Population aged 15-64,1000s
WLD_PR,Global average price of renewable energy,
WLD_RC,"Consumption of non-fossil fuel energy (nuclear, hydro and renewables)",Exojoules
WLD_TECHL,Labour augmenting technical progress trend indexed to GDP per working age population,index
WLD_XTN$,"Exports of goods and services,  Current prices",bln USD
WLD_XTR$,"Exports of goods and services, Constant 2015 prices",bln USD
WLD_YEN$,"Gross Domestic Product (GDP), Current prices",bln USD
WLD_YER$,"Gross Domestic Product (GDP), Constant 2015 prices",bln USD
WLD_YFT$,"Trend output, Constant 2015 prices",bln USD
USA_INFT,Inflation target (not necessarily explicit),percent
USA_INT,Short-term interest rate,percent per annum
